,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Almare Sahne Heringsfilets in Sahnesauce,"1,35 €","3,38 €",Preis pro 1 KG,(Schale 400 Gramm),aldi-sued
1,Coca Cola,"0,99 €","0,79 €",Preis pro 1 Liter,(Pet-Flasche 1.25 L),aldi-sued
2,Desira Grieß Pudding Pur,"0,35 €","0,20 €",Preis pro 100 Gramm,(Becher 175 Gramm),aldi-sued
3,"bio Aldi Süd frische Bio-Vollmilch längerfrisch, 3,8% Fett","1,05 €","1,05 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-sued
4,Nutella,"3,89 €","4,42 €",Preis pro 1 KG,"(Glas 880 Gramm, + 80 g Gratis)",aldi-sued
5,Landvogt Original Schwäbische Maultaschen mit einer leckeren Fleisch-Füllung,"1,29 €","0,36 €",Preis pro 100 Gramm,(Packung 360 Gramm),aldi-sued
6,Choco Bistro Doppelino Haselnusskekse mit Cremefüllung,"1,69 €","0,34 €",Preis pro 100 Gramm,(Packung 500 Gramm),aldi-sued
7,Iglo Schlemmer-Filet Classic a la Bordelaise,"2,99 €","7,87 €",Preis pro 1 KG,(Packung 380 Gramm),aldi-sued
8,Aldi Süd bio Honig flüssig,"3,55 €","7,10 €",Preis pro 1 KG,(Glas 500 Gramm),aldi-sued
9,Choceur Aldi Süd Schoko Milch Riegel,"1,29 €","0,65 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
10,Bio Aldi Süd Bio Hackfleisch gemischt,"3,59 €","8,98 €",Preis pro 1 KG,(Packung 400 Gramm),aldi-sued
11,Aldi Süd bio Eier M / L,"2,69 €","0,27 €",Preis pro Stück,(Packung 10 Stück),aldi-sued
12,Milfina  H- Schmand,"0,53 €","0,27 €",Preis pro 100 Gramm,(Becher 200 Gramm),aldi-sued
13,Aldi Süd bio Garnelen,"4,49 €","1,80 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
14,Aldi Süd bio Butter,"2,29 €","0,92 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
15,Choceur Mints Pfefferminz-Creme-Füllung,"1,79 €","0,60 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-sued
16,Desira Frucht auf Joghurt Pfirsich Maracuja,"0,35 €","0,23 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
17,la finesse Aldi Süd Kartoffel Knuspertaschen mit Frischkäse,"1,89 €","3,15 €",Preis pro 1 KG,(Beutel 600 Gramm),aldi-sued
18,Wiha Aldi Süd Nussknacker mit ganzen Nüssen,"0,59 €","0,00 €",Preis pro 100 Gramm,(),aldi-sued
19,Cucina Lasagne Bolognese,"2,99 €","2,99 €",Preis pro 1 KG,(Packung 1000 Gramm),aldi-sued
20,"Sweet Valley Schattenmorellen entsteint, gezuckert","0,79 €","1,16 €",Preis pro 1 KG,(Glas 680 Gramm),aldi-sued
21,Aldi Süd Irische Butter,"1,59 €","0,64 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
22,rio d oro Premium Apfel Direktsaft naturtrüb,"0,79 €","0,79 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-sued
23,Alpenmark Emmentaler gerieben,"1,39 €","0,70 €",Preis pro 100 Gramm,(Beutel 200 Gramm),aldi-sued
24,rio d oro Orangensaft Premium Direktsaft direkt gepresst,"1,49 €","1,49 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-sued
25,Knusperone Honey Rings,"1,99 €","3,32 €",Preis pro 1 KG,(Packung 600 Gramm),aldi-sued
26,Milfina Süßrahmbutter,"1,39 €","0,56 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
27,Dr. Oetker Rote Grütze herrlich fruchtig,"1,99 €","3,98 €",Preis pro 1 KG,(Becher 500 Gramm),aldi-sued
28,Milfina Schlag-Sahne Sprühsahne,"1,09 €","0,44 €",Preis pro 100 ml,(Sprühflasche 250 ML),aldi-sued
29,Choceur Feine Mozartkugeln Vollmilch,"1,99 €","1,00 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
30,Choceur Schokolade Alpenmilch,"0,49 €","0,49 €",Preis pro 100 Gramm,(Tafel 100 Gramm),aldi-sued
31,rio d oro Apfelsaft aus Apfelsaftkonzentrat,"0,59 €","0,59 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-sued
32,Geka Chicken Nuggets Cornflakes Sweet Chili,"1,99 €","1,00 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
33,rio d oro Blutorangen Direktsaft,"1,79 €","1,79 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-sued
34,Gartenkrone Rahmspinat mild gewürzt,"0,49 €","1,09 €",Preis pro 1 KG,(Packung 450 Gramm),aldi-sued
35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.","12,99 €","18,56 €",Preis pro 1 Liter,(Flasche (Glas) 0.7 L),aldi-sued
36,Aldi Süd Farmer Cashews geröstet und gesalzen,"1,69 €","1,13 €",Preis pro 100 Gramm,(),aldi-sued
37,Milfina Deutsche Markenbutter mild gesäuert,"1,49 €","0,60 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
38,alio Geschirr Reiniger Tabs All in One,"2,95 €","7,38 €",Preis pro 100 Stück,(Packung 40 Stück),aldi-sued
39,Almare Dill Sahne Heringsfilets in Dill-Sahnesauce mit feinen Dillgurken,"1,35 €","3,38 €",Preis pro 1 KG,(Becher 400 Gramm),aldi-sued
40,Belmont Aldi Süd Hofer Instant Volles Aroma,"3,79 €","1,90 €",Preis pro 100 Gramm,(Glas 200 Gramm),aldi-sued
41,Milfina streichfein ungesalzen Butter mit Rapsöl,"1,29 €","0,52 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
42,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,"1,39 €","3,09 €",Preis pro 1 KG,"(Packung 450 Gramm, 9 Stück)",aldi-sued
43,"Almare Garnelen gekocht, geschält","2,29 €","2,29 €",Preis pro 100 Gramm,(Packung 100 Gramm),aldi-sued
44,Tizio Caffee Gustoso ganze Bohne,"6,49 €","6,49 €",Preis pro 1 KG,(Packung 1000 Gramm),aldi-sued
45,"bio Aldi Süd frische Fettarme Biomilch 1,5% Fett","0,95 €","0,95 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-sued
46,Choceur Edle Kirschen Feine Likör Kirsch Pralinen,"1,79 €","0,72 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
47,One World Blütenhonig cremig,"3,59 €","7,18 €",Preis pro 1 KG,(Glas 500 Gramm),aldi-sued
48,Wonnemayer Feinkost Salat Geflügelsalat mit Früchten,"0,89 €","0,36 €",Preis pro 100 Gramm,(Schale 250 Gramm),aldi-sued
49,Wonnemayer Feinkost  Pellkartoffel-Salat mit Sahne verfeinert,"1,69 €","1,69 €",Preis pro 1 KG,(Schale 1 KG),aldi-sued
50,"Fresh & Free Zahnpflegekaugummi Active - Honey & Lemon, 6 x14 g","0,85 €","1,01 €",Preis pro 100 Gramm,(Multipackung 84 Gramm),aldi-sued
51,"Ponnath Aldi Süd Münchner Weißwurst echt bayrisch, 5 Stück","1,89 €","0,63 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-sued
52,Cucina Steinofen Pizza Mozzarella,"1,59 €","3,70 €",Preis pro 1 KG,(Packung 430 Gramm),aldi-sued
53,Aldi Süd Chicken Nuggets,"1,79 €","3,58 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
54,Atka / Aldi Süd King Prawns Natur,"3,99 €","1,60 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
55,Almare Frische Miesmuscheln,"2,99 €","2,99 €",Preis pro 1 KG,(Packung 1000 Gramm),aldi-sued
56,Landvogt Gemüse Maultaschen mit einer leckeren Gemüse-Füllung,"1,29 €","0,36 €",Preis pro 100 Gramm,(Packung 360 Gramm),aldi-sued
57,Knusperone Haferflocken Zarte,"0,49 €","0,98 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
