,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Tamara Konfitüre extra Erdbeer,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22,0,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
1,1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505,1,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
2,2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146,2,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
3,3,Trader Joes / Aldi Nord  Eistee Zitrone,0.49,100 ml,"Pet Flasche 1,5L",aldi-nord,0.033,3,0.49,100 ml,"Pet Flasche 1,5L",aldi-nord,0.033
4,4,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999,4,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999
5,5,Ofterdinger Aldi Nord Pellkartoffelsalat mit Ei und Gurke,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149,5,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149
6,6,Nusskati Nuss Nougat Creme,1.29,100 Gramm,Glas 400 Gramm,aldi-nord,0.32299999999999995,6,1.29,100 Gramm,Glas 400 Gramm,aldi-nord,0.32299999999999995
7,7,"Mama Mancini Pizza 3-er Pack Edelsalami, 3 x 350 g",2.59,100 Gramm,Packung 1050 Gramm,aldi-nord,0.25,7,2.59,100 Gramm,Packung 1050 Gramm,aldi-nord,0.25
8,8,Landbeck / Aldi Nord Bockwurst im zarten Saitling,5.49,100 Gramm,Dose 1650 Gramm,aldi-nord,0.33299999999999996,8,5.49,100 Gramm,Dose 1650 Gramm,aldi-nord,0.33299999999999996
9,9,Sprengel / Aldi Nord Herz Kirschen,1.79,100 Gramm,Packung 250 Gramm,aldi-nord,0.72,9,1.79,100 Gramm,Packung 250 Gramm,aldi-nord,0.72
10,10,Delikato Tomaten Ketchup,0.79,100 ml,Dosierflasche 500 ML,aldi-nord,0.158,10,0.79,100 ml,Dosierflasche 500 ML,aldi-nord,0.158
11,11,Gut Drei Eichen Hausmacher Jagdwurst,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,0.72,11,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,0.72
12,12,Hallbauer / Aldi Nord Frischkäse,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.33,12,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.33
13,13,Markus Kaffee Gold fein-würzig,3.19,100 Gramm,Packung 500 Gramm,aldi-nord,0.638,13,3.19,100 Gramm,Packung 500 Gramm,aldi-nord,0.638
14,14,Ofterdinger Aldi Nord Kartoffelsalat mit Creme Fraiche,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149,14,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149
15,15,Pottkieker Erbsen Eintopf mit geräuchertem Schweinebauch,0.99,100 Gramm,Dose 800 Gramm,aldi-nord,0.124,15,0.99,100 Gramm,Dose 800 Gramm,aldi-nord,0.124
16,16,Goldähren Butter Toast geschnitten,0.69,100 Gramm,Beutel 500 Gramm,aldi-nord,0.13799999999999998,16,0.69,100 Gramm,Beutel 500 Gramm,aldi-nord,0.13799999999999998
17,17,Buttella Raps Vitalöl Kaltgepresst,0.99,100 ml,Flasche Glas 0.5 L,aldi-nord,0.198,17,0.99,100 ml,Flasche Glas 0.5 L,aldi-nord,0.198
18,18,Meica Curry King,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68,18,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68
19,19,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001,19,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001
20,20,Ursi Mon Dessert Double Choc,0.39,100 Gramm,Becher 175 Gramm,aldi-nord,0.22,20,0.39,100 Gramm,Becher 175 Gramm,aldi-nord,0.22
21,21,Buttella feines Sonnenblumenöl,0.99,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.099,21,0.99,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.099
22,22,"Milsani Kondensmilch 7,5 % Fett",0.56,100 ml,Packung 319 ML,aldi-nord,0.18,22,0.56,100 ml,Packung 319 ML,aldi-nord,0.18
23,23,Milsani H-Schlagsahne 30% Fett,0.63,100 Gramm,Pack 200 Gramm,aldi-nord,0.32,23,0.63,100 Gramm,Pack 200 Gramm,aldi-nord,0.32
24,24,"Milsani Frische fettarme Milch 1,5 % Fett",0.63,100 ml,Getränkekarton 1 L,aldi-nord,0.063,24,0.63,100 ml,Getränkekarton 1 L,aldi-nord,0.063
25,25,Iglo Rahmspinat der mit dem Blubb,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,0.252,25,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,0.252
26,26,River Cola / Aldi Nord,0.29,100 ml,Pet-Flasche 1.5 L,aldi-nord,0.019,26,0.29,100 ml,Pet-Flasche 1.5 L,aldi-nord,0.019
27,27,Eskimo / Aldi Nord Fischstäbchen,1.99,100 Gramm,Packung 450 Gramm,aldi-nord,0.442,27,1.99,100 Gramm,Packung 450 Gramm,aldi-nord,0.442
28,28,Nordholmer Friesentopf Sahne Heringsfilets,1.39,100 Gramm,Becher 400 Gramm,aldi-nord,0.348,28,1.39,100 Gramm,Becher 400 Gramm,aldi-nord,0.348
29,29,Milsani Sprühfertige Schlagsahne mit Zucker,1.19,100 ml,Sprühflasche 250 ML,aldi-nord,0.48,29,1.19,100 ml,Sprühflasche 250 ML,aldi-nord,0.48
30,30,Buttella Looping Halbfett Margarine nur 39% Fett,0.69,100 Gramm,Becher 500 Gramm,aldi-nord,0.13799999999999998,30,0.69,100 Gramm,Becher 500 Gramm,aldi-nord,0.13799999999999998
31,31,Schnell und Lecker / Aldi Nord Hühnerfrikassee mit zarten Gemüse,0.99,100 Gramm,Packung 260 Gramm,aldi-nord,0.38,31,0.99,100 Gramm,Packung 260 Gramm,aldi-nord,0.38
32,32,Gut Bio Finnkorn Vollkorn-Toastbrötchen,0.79,100 Gramm,Schale 250 Gramm,aldi-nord,0.32,32,0.79,100 Gramm,Schale 250 Gramm,aldi-nord,0.32
33,33,Ofterdinger Aldi Nord Delikatess Fleischsalat,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22,33,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
34,34,Tamara Konfitüre extra Sauerkirsch,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,0.83,34,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,0.83
35,35,Hofburger Bayerischer Alpenweichkäse mild & Cremig,0.89,100 ml,"Flasche 0,2l",aldi-nord,0.445,35,0.89,100 ml,"Flasche 0,2l",aldi-nord,0.445
36,36,Stolzenfels Sekt trocken,7.49,100 Gramm,Packung 1 KG,aldi-nord,0.7490000000000001,36,7.49,100 Gramm,Packung 1 KG,aldi-nord,0.7490000000000001
37,37,Moreno / Aldi Nord Caffe Crema ganze Bohnen,0.39,100 Gramm,Packung 1000 Gramm,aldi-nord,0.039,37,0.39,100 Gramm,Packung 1000 Gramm,aldi-nord,0.039
38,38,Goldähren Qualitäts Weizenmehl Type 405,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149,38,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149
39,39,Ofterdinger Aldi Nord Frischer Weißkrautsalat,0.63,100 Gramm,Becher 200 Gramm,aldi-nord,0.32,39,0.63,100 Gramm,Becher 200 Gramm,aldi-nord,0.32
40,40,Milsani Aldi Nord Schlagsahne 30 % Fett,0.65,100 Gramm,Becher 500 Gramm,aldi-nord,0.13,40,0.65,100 Gramm,Becher 500 Gramm,aldi-nord,0.13
41,41,Delikata Frühstücks Margarine,0.75,100 Gramm,Beutel 500 Gramm,aldi-nord,0.15,41,0.75,100 Gramm,Beutel 500 Gramm,aldi-nord,0.15
42,42,Gut Bio Fussili,0.95,100 ml,Dosierflasche 500 ML,aldi-nord,0.19,42,0.95,100 ml,Dosierflasche 500 ML,aldi-nord,0.19
43,43,Delikato Würzige Remoulade Dosierflasche,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,0.83,43,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,0.83
44,44,Tamara Konfitüre extra Waldfrucht,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22,44,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
45,45,Freihofer Gourmet Frische Belgische Pralinen gekühlt,5.49,100 Gramm,Packung 500 Gramm,aldi-nord,1.1,45,5.49,100 Gramm,Packung 500 Gramm,aldi-nord,1.1
46,46,Landbeck / Aldi Nord Meister Bratwurst,2.59,100 Gramm,"Packung 540 Gramm, 6 x 90g",aldi-nord,0.48,46,2.59,100 Gramm,"Packung 540 Gramm, 6 x 90g",aldi-nord,0.48
47,47,Ursi lockerer Sahne Pudding Schoko,0.35,100 Gramm,Becher 200 Gramm,aldi-nord,0.18,47,0.35,100 Gramm,Becher 200 Gramm,aldi-nord,0.18
48,48,Biscotto Kokos Törtchen,1.79,100 Gramm,Packung 400 Gramm,aldi-nord,0.45,48,1.79,100 Gramm,Packung 400 Gramm,aldi-nord,0.45
49,49,Reichsgraf Butterstollen,3.19,100 Gramm,Packung 750 Gramm,aldi-nord,0.425,49,3.19,100 Gramm,Packung 750 Gramm,aldi-nord,0.425
50,50,Sterngold Bananen-Nektar aus Bananenmark,0.85,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.08499999999999999,50,0.85,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.08499999999999999
51,51,Flora Danica Frischkäse sahnig-cremig,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.33,51,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.33
52,52,Lisani Chester Schmelzkäse,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,0.4,52,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,0.4
53,53,Gut Bio Honigauslese flüssig,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,0.71,53,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,0.71
54,54,Pottkieker Hühnersuppentopf mit Muschelnudeln,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,0.106,54,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,0.106
55,55,Pottkieker Texas Eintopf mit Chilibohnen und Paprika - feurig,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,0.106,55,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,0.106
56,56,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5,56,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5
57,57,Rookhus Graved Lachs geräuchert in Scheiben,3.89,100 Gramm,Folie 150 Gramm,aldi-nord,2.59,57,3.89,100 Gramm,Folie 150 Gramm,aldi-nord,2.59
58,58,Mertenbach Leberwurst fein,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,0.57,58,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,0.57
59,59,Mertenbach Leberwurst grob,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,0.57,59,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,0.57
60,60,Gut Bio Honig cremig,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,0.71,60,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,0.71
61,61,Feurich Chips Paprika,0.75,100 Gramm,Beutel 200 Gramm,aldi-nord,0.38,61,0.75,100 Gramm,Beutel 200 Gramm,aldi-nord,0.38
62,62,Kurpfalz Rolle Doppelkeks mit Kakaocreme-Füllung,0.79,100 Gramm,Rolle 500 Gramm,aldi-nord,0.16,62,0.79,100 Gramm,Rolle 500 Gramm,aldi-nord,0.16
63,63,"Milsani Haltbare fettarme H-Milch 1,5% Fett",0.63,100 ml,Getränkekarton 1 L,aldi-nord,0.063,63,0.63,100 ml,Getränkekarton 1 L,aldi-nord,0.063
64,64,Traders Joes Californische Pistazien geröstet und gesalzen,3.19,100 Gramm,Beutel 250 Gramm,aldi-nord,1.28,64,3.19,100 Gramm,Beutel 250 Gramm,aldi-nord,1.28
65,65,Golden Fruit Apfelmus,0.55,100 Gramm,Getränkekarton 710 Gramm,aldi-nord,0.077,65,0.55,100 Gramm,Getränkekarton 710 Gramm,aldi-nord,0.077
66,66,delikato Wein Branntwein Essig für den milden Salat-Genuss,0.39,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.039,66,0.39,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.039
67,67,Traders Joes Eis Tee Pfirsich,0.49,100 ml,"Pet Flasche 1,5L",aldi-nord,0.033,67,0.49,100 ml,"Pet Flasche 1,5L",aldi-nord,0.033
68,68,"Milsani H-Vollmilch 3,5% Fett",0.71,100 ml,Getränkekarton 1 L,aldi-nord,0.071,68,0.71,100 ml,Getränkekarton 1 L,aldi-nord,0.071
69,69,Delikato Salat Mayonnaise,0.79,100 ml,Glas 500 ML,aldi-nord,0.158,69,0.79,100 ml,Glas 500 ML,aldi-nord,0.158
70,70,Holstensegen Wellenschnitt Pommes,1.39,100 Gramm,Packung 1000 Gramm,aldi-nord,0.13899999999999998,70,1.39,100 Gramm,Packung 1000 Gramm,aldi-nord,0.13899999999999998
71,71,Goldähren Dreikorn Toast,0.59,100 Gramm,Beutel 500 Gramm,aldi-nord,0.11800000000000001,71,0.59,100 Gramm,Beutel 500 Gramm,aldi-nord,0.11800000000000001
72,72,Gut Drei Eichen Edelsalami,4.29,100 Gramm,Folie 650 Gramm,aldi-nord,0.6599999999999999,72,4.29,100 Gramm,Folie 650 Gramm,aldi-nord,0.6599999999999999
73,73,Goldähren Bauernschnitten geschnitten,0.59,100 Gramm,Beutel 500 Gramm,aldi-nord,0.11800000000000001,73,0.59,100 Gramm,Beutel 500 Gramm,aldi-nord,0.11800000000000001
74,74,Milsani Deutsche Markenbutter,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,0.56,74,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,0.56
