,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505,4,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
1,2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146,1,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
2,19,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001,7,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
3,33,Ofterdinger Aldi Nord Delikatess Fleischsalat,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22,418,0.59,100 Gramm,Schale 250 Gramm,aldi-sued,0.24
4,56,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5,648,0.89,100 Gramm,Beutel 300 Gramm,aldi-sued,0.3
5,74,Milsani Deutsche Markenbutter,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,0.56,736,1.29,100 Gramm,Packung 250 Gramm,aldi-sued,0.52
6,79,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,652,1.19,100 Gramm,Beutel 175 Gramm,aldi-sued,0.68
7,145,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3,129,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15
8,174,"Kokett Toilettenpapier 4-lagig, 10 x 160 Blatt",1.55,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-nord,7.6,105,2.95,Preis pro 1000 Blatt,Packung 1600 Blatt,aldi-sued,1.84
9,175,"Kokett Küchenrollen 3-lagig, 4 x 51 Blatt",0.79,100 Gramm,Becher 500  Gramm,aldi-nord,0.158,101,1.35,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-sued,6.62
10,177,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71,646,1.79,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-sued,0.64
11,218,Krombacher Pils,0.79,100 ml,"Dose 0,5L",aldi-nord,0.158,1181,0.79,100 ml,"Dose 0,5L",aldi-sued,0.158
12,219,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532,218,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532
13,232,Gourmet Ziegenfrischkäse im Speckmantel,1.69,100 Gramm,Packung 90 Gramm,aldi-nord,1.88,196,2.99,100 Gramm,Dose 350 Gramm,aldi-sued,0.85
14,262,Cava Delmora Spanischer Sekt,3.69,100 ml,Flasche Glas 0.75 L,aldi-nord,0.49200000000000005,1759,3.59,100 ml,Flasche Glas 0.75 L,aldi-sued,0.479
15,262,Cava Delmora Spanischer Sekt,3.69,100 ml,Flasche Glas 0.75 L,aldi-nord,0.49200000000000005,3049,3.79,100 ml,Flasche Glas 0.75 L,aldi-sued,0.505
16,264,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001,1024,6.99,100 Gramm,Packung 1000 Gramm,aldi-sued,0.6990000000000001
17,289,Rosenkohl,0.99,100 Gramm,Netz 750 Gramm,aldi-nord,0.132,1530,0.49,100 Gramm,Netz 1 KG,aldi-sued,0.049
18,299,alio Geschirr Reiniger Tabs All in One,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-nord,7.38,38,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-sued,7.38
19,302,Haribo Big Kiddies Box,4.79,100 Gramm,Dose 1.3 KG,aldi-nord,0.37,1291,4.59,100 Gramm,Dose 1.3 KG,aldi-sued,0.0
20,357,Milsa Fettarmer Joghurt mild 1.5% Fett,0.45,100 Gramm,Becher 500 Gramm,aldi-nord,0.09,1176,0.49,100 Gramm,Becher 500 Gramm,aldi-sued,0.098
21,379,Ofterdinger Aldi Guacamole Avocadocreme scharf,1.79,100 Gramm,Becher 150 Gramm,aldi-nord,1.19,1073,1.79,100 Gramm,Becher 150 Gramm,aldi-sued,1.19
22,380,Ofterdinger Aldi Guacamole Avocadocreme mild,1.79,100 Gramm,Becher 150 Gramm,aldi-nord,1.19,1074,1.79,100 Gramm,Becher 150 Gramm,aldi-sued,1.19
23,384,Funny Frisch Chipsfrisch Oriental,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,1636,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532
24,398,Original Weins Schwarzwälder Schinken,1.89,100 Gramm,Packung 200 Gramm,aldi-nord,0.95,1286,1.89,100 Gramm,Packung 200 Gramm,aldi-sued,0.95
25,405,Wonnemayer Feinkost Salat Delikatess Fleischsalat,0.79,100 Gramm,Becher 400 Gramm,aldi-nord,0.2,159,0.79,100 Gramm,Becher 400 Gramm,aldi-sued,0.2
