,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505,0,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
1,2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146,15,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
2,4,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999,1,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753
3,18,Meica Curry King,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68,14,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95
4,19,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001,39,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999
5,25,Iglo Rahmspinat der mit dem Blubb,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,0.252,112,1.89,100 Gramm,Packung 800 Gramm,kaufland,0.23600000000000002
6,56,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5,607,1.45,100 Gramm,Mini-Maxi Beutel 250 Gramm,kaufland,0.58
7,78,Maggi Würze Tischflasche,1.69,100 Gramm,Flasche Glas 250 Gramm,aldi-nord,0.68,300,1.95,100 Gramm,Flasche 202ml,kaufland,1.41
8,79,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,290,1.99,100 Gramm,Beutel 175 Gramm,kaufland,1.14
9,98,Kerrygold Original Irische Butter mildgesäuert,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263,5,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96
10,121,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,aldi-nord,0.72,42,2.29,100 Gramm,Packung 320  Gramm,kaufland,0.72
11,122,Dr. Oetker Ristorante Pizza Salame,2.49,100 Gramm,Karton 320 Gramm,aldi-nord,0.78,520,2.69,100 Gramm,Karton 320 Gramm,kaufland,0.84
12,123,Wagner herzhafter Flammkuchen Unser Original,2.29,100 Gramm,Packung 300 Gramm,aldi-nord,0.76,540,2.29,100 Gramm,Packung 300 Gramm,kaufland,0.76
13,145,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3,321,1.99,100 Gramm,"Packung 150  Gramm, 15 Stück",kaufland,1.33
14,146,Ferrero Kinder Riegel,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,0.95,333,3.39,100 Gramm,"Packung 378 Gramm, 18 x 21g",kaufland,0.9
15,176,Deli Reform Margarine Das Original,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,1.41,292,1.39,100 Gramm,Becher 500  Gramm,kaufland,0.278
16,177,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71,8,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71
17,218,Krombacher Pils,0.79,100 ml,"Dose 0,5L",aldi-nord,0.158,82,14.8,100 ml,"Kasten 10 L, 20 x 0,5 L ",kaufland,0.14800000000000002
18,219,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532,89,3.99,100 ml,Flasche Glas 0.75 L,kaufland,0.532
19,220,Original Wagner Steinofen Pizza Speciale,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,0.65,75,2.29,100 Gramm,Packung 350 Gramm,kaufland,0.65
20,226,Miracle Whip Balance,1.59,100 ml,Glas 500 ML,aldi-nord,0.318,1832,1.89,100 ml,Glas 500 ML,kaufland,0.37799999999999995
21,227,Miracel Whip Klassik,1.59,100 ml,Glas 500 ML,aldi-nord,0.318,897,1.59,100 ml,Glas 500 ML,kaufland,0.318
22,228,De Beukelaer Prinzen Rolle mit Kakaocreme,1.49,100 Gramm,Rolle 400 Gramm,aldi-nord,0.37,889,1.69,100 Gramm,Rolle 400 Gramm,kaufland,0.42
23,229,Ehrmann Grand Dessert Plus Double-Choc,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,0.42,200,0.79,100 Gramm,Becher 190 Gramm,kaufland,0.42
24,264,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001,1417,0.49,100 Gramm,Becher 500 Gramm,kaufland,0.098
25,264,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001,3699,1.19,100 Gramm,Packung 500 Gramm,kaufland,0.23800000000000002
26,289,Rosenkohl,0.99,100 Gramm,Netz 750 Gramm,aldi-nord,0.132,2059,1.29,100 Gramm,Netz 1 KG,kaufland,0.129
27,298,Dr. Oetker Original Pudding Vanille Geschmack,0.99,100 Gramm,Packung 148 Gramm,aldi-nord,0.67,525,0.79,100 Gramm,"Packung 105 Gramm, 3er",kaufland,0.75
28,300,Kölln Blütenzarte Köllnflocken,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.198,40,1.29,100 Gramm,Packung 500 Gramm,kaufland,0.258
29,301,Dr. Oetker Paradies Creme Sahne-Karamell-Geschmack,0.79,100 Gramm,Packung 76 Gramm,aldi-nord,1.04,800,0.59,100 Gramm,Packung 76 Gramm,kaufland,0.78
30,382,Dr. Oetker Paradies Creme Schokolade,0.89,100 Gramm,Packung 73 Gramm,aldi-nord,1.22,3000,0.69,100 Gramm,Packung 73 Gramm,kaufland,0.95
31,383,Ehrmann Grand Dessert Vanille,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,0.42,2996,0.55,100 Gramm,Becher 200 Gramm,kaufland,0.28
32,384,Funny Frisch Chipsfrisch Oriental,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,3163,1.79,100 Gramm,Beutel 175 Gramm,kaufland,1.02
33,413,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-nord,1.75,91,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",kaufland,1.75
34,446,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,aldi-nord,0.4360000000000001,967,20.0,100 ml,"Karton 6 L, 24 x 0,250 L",kaufland,0.33299999999999996
35,447,Dr. Oetker la MIA GRANDE Margherita,2.85,100 Gramm,Karton 360 Gramm,aldi-nord,0.79,251,3.49,100 Gramm,Karton 360 Gramm,kaufland,0.97
