,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505,3,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997
1,2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146,0,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
2,4,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999,5,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753
3,19,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001,38,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466
4,56,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5,682,0.89,100 Gramm,Beutel 300 Gramm,lidl,0.3
5,78,Maggi Würze Tischflasche,1.69,100 Gramm,Flasche Glas 250 Gramm,aldi-nord,0.68,287,1.59,100 Gramm,Flasche Glas 250 Gramm,lidl,0.64
6,79,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,53,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79
7,98,Kerrygold Original Irische Butter mildgesäuert,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263,17,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96
8,121,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,aldi-nord,0.72,720,0.88,100 Gramm,Packung 125 Gramm,lidl,0.7
9,122,Dr. Oetker Ristorante Pizza Salame,2.49,100 Gramm,Karton 320 Gramm,aldi-nord,0.78,467,2.69,100 Gramm,Karton 320 Gramm,lidl,0.84
10,123,Wagner herzhafter Flammkuchen Unser Original,2.29,100 Gramm,Packung 300 Gramm,aldi-nord,0.76,475,2.59,100 Gramm,Packung 300 Gramm,lidl,0.86
11,145,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3,274,1.99,100 Gramm,Packung 180 Gramm,lidl,1.11
12,146,Ferrero Kinder Riegel,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,0.95,278,2.39,100 Gramm,"10 x 21 g, Packung 210 Gramm",lidl,1.14
13,176,Deli Reform Margarine Das Original,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,1.41,265,0.85,100 Gramm,Becher 555 Gramm,lidl,0.153
14,177,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71,292,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9
15,218,Krombacher Pils,0.79,100 ml,"Dose 0,5L",aldi-nord,0.158,978,0.79,100 ml,"Dose 0,5L",lidl,0.158
16,219,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532,75,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532
17,220,Original Wagner Steinofen Pizza Speciale,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,0.65,816,2.29,100 Gramm,Packung 350 Gramm,lidl,0.65
18,221,Dr. Oetker Ristorante Pizza Tonno,2.49,100 Gramm,Packung 355 Gramm,aldi-nord,0.701,805,2.69,100 Gramm,Packung 355 Gramm,lidl,0.758
19,226,Miracle Whip Balance,1.59,100 ml,Glas 500 ML,aldi-nord,0.318,819,1.29,100 ml,Glas 500 ML,lidl,0.258
20,227,Miracel Whip Klassik,1.59,100 ml,Glas 500 ML,aldi-nord,0.318,834,1.29,100 ml,Glas 500 ML,lidl,0.258
21,228,De Beukelaer Prinzen Rolle mit Kakaocreme,1.49,100 Gramm,Rolle 400 Gramm,aldi-nord,0.37,831,1.39,100 Gramm,Rolle 400 Gramm,lidl,0.35
22,229,Ehrmann Grand Dessert Plus Double-Choc,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,0.42,161,0.79,100 Gramm,Becher 190 Gramm,lidl,0.42
23,238,Haribo Pico-Balla,0.99,100 Gramm,Beutel 175 Gramm,aldi-nord,0.57,2093,0.55,100 Gramm,Becher 200 Gramm,lidl,0.28
24,264,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001,155,7.49,100 Gramm,Packung 1000 Gramm,lidl,0.7490000000000001
25,289,Rosenkohl,0.99,100 Gramm,Netz 750 Gramm,aldi-nord,0.132,1533,0.99,100 Gramm,Netz 1 KG,lidl,0.099
26,376,Original Wagner Steinofen Pizza Mozzarella,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,0.65,2828,2.39,100 Gramm,Packung 350 Gramm,lidl,0.68
27,377,Dr. Oetker Die Ofenfrische Pizza Salami,2.69,100 Gramm,Packung 380 Gramm,aldi-nord,0.71,1593,0.99,100 Gramm,"Packung 500 Gramm, 4 x 125g, 3 und 1 Becher gratis",lidl,0.2
28,383,Ehrmann Grand Dessert Vanille,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,0.42,2817,0.37,100 Gramm,Becher 200 Gramm,lidl,0.19
29,386,Beyond Burger Vegane Burger,4.99,100 Gramm,Packung 227 Gramm,aldi-nord,2.2,1544,4.99,100 Gramm,Packung 227 Gramm,lidl,2.2
30,413,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-nord,1.75,275,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75
31,446,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,aldi-nord,0.4360000000000001,76,1.09,100 ml,Dose 250 ML,lidl,0.4360000000000001
32,450,Arla Kaergarden gesalzen,1.29,100 Gramm,Becher 250  Gramm,aldi-nord,0.52,790,1.89,100 Gramm,Becher 250  Gramm,lidl,0.76
33,451,Arla Kaergarden ungesalzen,1.29,100 Gramm,Becher 250 Gramm,aldi-nord,0.52,789,1.89,100 Gramm,Becher 250 Gramm,lidl,0.76
34,461,Leibniz Butterkeks 30% weniger Zucker,0.99,100 Gramm,Packung 150 Gramm,aldi-nord,0.66,1237,0.88,100 Gramm,Packung 150 Gramm,lidl,0.59
35,465,Arla Buko Frischkäse Garten Kräuter 18% Fett,0.88,100 Gramm,Packung 200 Gramm,aldi-nord,0.44,1228,1.19,100 Gramm,Packung 200 Gramm,lidl,0.6
36,466,Kerrygold Extra ungesalzen,2.19,100 Gramm,Becher 250 Gramm,aldi-nord,0.88,909,0.75,100 Gramm,Becher 150 Gramm,lidl,0.5
37,467,Kerrygold Extra gesalzen,2.19,100 Gramm,Becher 250 Gramm,aldi-nord,0.88,911,0.75,100 Gramm,Becher 150 Gramm,lidl,0.5
38,468,Ehrmann Almighurt Himbeer,0.59,100 Gramm,Becher 150 Gramm,aldi-nord,0.39,1559,0.45,100 Gramm,Becher 150 Gramm,lidl,0.3
39,469,Dr. Oetker Vitalis Schoko Müsli klassisch,2.79,100 Gramm,Packung 600 Gramm,aldi-nord,0.465,2085,2.79,100 Gramm,Packung 600 Gramm,lidl,0.465
40,470,Ferrero Küsschen,2.99,100 Gramm,"Packung 178 Gramm, 20 Stück",aldi-nord,1.68,951,2.25,100 Gramm,"Packung 178 Gramm, 20 Stück",lidl,1.26
