,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Tamara Konfitüre extra Erdbeer,"1,49 €","1,49 €",Preis pro 1 KG,(Becher 1 KG),aldi-nord
1,Nutella,"0,99 €","0,22 €",Preis pro 100 Gramm,(Glas 450 Gramm),aldi-nord
2,Coca Cola,"3,79 €","5,05 €",Preis pro 1 KG,(Glas 750 Gramm),aldi-nord
3,Trader Joes / Aldi Nord  Eistee Zitrone,"2,89 €","1,46 €",Preis pro 1 Liter,"(6 x 0,33 L, 1.98 L)",aldi-nord
4,Iglo Fischstäbchen,"0,49 €","0,33 €",Preis pro 1 Liter,"(Pet Flasche 1,5L)",aldi-nord
5,Ofterdinger Aldi Nord Pellkartoffelsalat mit Ei und Gurke,"3,49 €","7,76 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",aldi-nord
6,Nusskati Nuss Nougat Creme,"1,49 €","1,49 €",Preis pro 1 KG,(Becher 1 KG),aldi-nord
7,"Mama Mancini Pizza 3-er Pack Edelsalami, 3 x 350 g","1,29 €","3,23 €",Preis pro 1 KG,(Glas 400 Gramm),aldi-nord
8,Landbeck / Aldi Nord Bockwurst im zarten Saitling,"2,59 €","0,25 €",Preis pro 100 Gramm,(Packung 1050 Gramm),aldi-nord
9,Sprengel / Aldi Nord Herz Kirschen,"5,49 €","3,33 €",Preis pro 1 KG,(Dose 1650 Gramm),aldi-nord
10,Delikato Tomaten Ketchup,"1,79 €","0,72 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-nord
11,Gut Drei Eichen Hausmacher Jagdwurst,"0,79 €","1,58 €",Preis pro 1 Liter,(Dosierflasche 500 ML),aldi-nord
12,Hallbauer / Aldi Nord Frischkäse,"1,79 €","0,72 €",Preis pro 100 Gramm,(Glas 250 Gramm),aldi-nord
13,Markus Kaffee Gold fein-würzig,"0,99 €","0,33 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-nord
14,Ofterdinger Aldi Nord Kartoffelsalat mit Creme Fraiche,"3,19 €","6,38 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-nord
15,Pottkieker Erbsen Eintopf mit geräuchertem Schweinebauch,"1,19 €","0,48 €",Preis pro 100 ml,(Sprühflasche 250 ML),aldi-nord
16,Goldähren Butter Toast geschnitten,"0,99 €","1,24 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord
17,Buttella Raps Vitalöl Kaltgepresst,"0,69 €","1,38 €",Preis pro 1 KG,(Beutel 500 Gramm),aldi-nord
18,Meica Curry King,"0,99 €","1,98 €",Preis pro 1 Liter,(Flasche (Glas) 0.5 L),aldi-nord
19,Iglo Schlemmer-Filet Classic a la Bordelaise,"1,49 €","0,68 €",Preis pro 100 Gramm,(Packung 220 Gramm),aldi-nord
20,Ursi Mon Dessert Double Choc,"3,19 €","8,39 €",Preis pro 1 KG,(Packung 380 Gramm),aldi-nord
21,Buttella feines Sonnenblumenöl,"0,39 €","0,22 €",Preis pro 100 Gramm,(Becher 175 Gramm),aldi-nord
22,"Milsani Kondensmilch 7,5 % Fett","0,99 €","0,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-nord
23,Milsani H-Schlagsahne 30% Fett,"0,56 €","0,18 €",Preis pro 100 ml,(Packung 319 ML),aldi-nord
24,"Milsani Frische fettarme Milch 1,5 % Fett","0,63 €","0,32 €",Preis pro 100 Gramm,(Pack 200 Gramm),aldi-nord
25,Iglo Rahmspinat der mit dem Blubb,"0,63 €","0,63 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-nord
26,River Cola / Aldi Nord,"1,89 €","2,52 €",Preis pro 1 KG,(Packung 750 Gramm),aldi-nord
