,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505,4,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
1,2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146,5,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
2,4,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999,14,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996
3,18,Meica Curry King,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68,36,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77
4,19,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001,70,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003
5,25,Iglo Rahmspinat der mit dem Blubb,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,0.252,222,1.19,100 Gramm,Packung 800 Gramm,rewe,0.149
6,56,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5,322,1.75,100 Gramm,Mini-Maxi Beutel 250 Gramm,rewe,0.7
7,79,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79,324,1.39,100 Gramm,Beutel 175 Gramm,rewe,0.79
8,98,Kerrygold Original Irische Butter mildgesäuert,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263,162,2.49,100 Gramm,Packung 250  Gramm,rewe,1.0
9,121,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,aldi-nord,0.72,351,1.79,100 Gramm,Packung 320  Gramm,rewe,0.56
10,122,Dr. Oetker Ristorante Pizza Salame,2.49,100 Gramm,Karton 320 Gramm,aldi-nord,0.78,340,1.88,100 Gramm,Karton 320 Gramm,rewe,0.59
11,123,Wagner herzhafter Flammkuchen Unser Original,2.29,100 Gramm,Packung 300 Gramm,aldi-nord,0.76,436,1.49,100 Gramm,Dose 800 Gramm,rewe,0.18600000000000003
12,146,Ferrero Kinder Riegel,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,0.95,289,3.49,100 Gramm,"Packung 378 Gramm, 18 x 21g",rewe,0.92
13,176,Deli Reform Margarine Das Original,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,1.41,287,0.89,100 Gramm,Becher 500  Gramm,rewe,0.17800000000000002
14,177,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71,407,0.99,100 Gramm,"5 x 28 g, Packung 140 Gramm",rewe,0.71
15,218,Krombacher Pils,0.79,100 ml,"Dose 0,5L",aldi-nord,0.158,600,10.79,100 ml,"Kasten 10 L, 20 x 0,5 L ",rewe,0.108
16,219,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532,604,2.69,100 ml,Flasche Glas 0.75 L,rewe,0.359
17,220,Original Wagner Steinofen Pizza Speciale,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,0.65,972,1.79,100 Gramm,Packung 350 Gramm,rewe,0.51
