,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,2,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
1,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,1,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
2,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,19,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001
3,31,rio d oro Apfelsaft aus Apfelsaftkonzentrat,0.59,100 ml,Getränkekarton 1 L,aldi-sued,0.059000000000000004,1047,0.79,100 ml,Getränkekarton 1 L,aldi-nord,0.079
4,38,alio Geschirr Reiniger Tabs All in One,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-sued,7.38,299,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-nord,7.38
5,66,rio d oro Orangensaft,0.95,100 ml,Pet-Flasche 1 L,aldi-sued,0.095,1028,0.79,100 ml,Pet-Flasche 1 L,aldi-nord,0.079
6,101,"Kokett Küchenrollen 3-lagig, 4 x 51 Blatt",1.35,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-sued,6.62,175,0.79,100 Gramm,Becher 500  Gramm,aldi-nord,0.158
7,105,"Kokett Toilettenpapier 4-lagig, 10 x 160 Blatt",2.95,Preis pro 1000 Blatt,Packung 1600 Blatt,aldi-sued,1.84,174,1.55,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-nord,7.6
8,110,Brokkoli frisch,0.99,100 Gramm,Folie 500 Gramm,aldi-sued,0.198,617,0.59,100 Gramm,Folie 500 Gramm,aldi-nord,0.11800000000000001
9,129,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15,145,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3
10,131,Choceur Schoko Knusper Riegel Vollmilch,1.19,100 Gramm,Packung 180 Gramm,aldi-sued,0.66,522,1.15,100 Gramm,Packung 180 Gramm,aldi-nord,0.64
11,159,Wonnemayer Feinkost Salat Delikatess Fleischsalat,0.79,100 Gramm,Becher 400 Gramm,aldi-sued,0.2,405,0.79,100 Gramm,Becher 400 Gramm,aldi-nord,0.2
