,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Almare Sahne Heringsfilets in Sahnesauce,1.35,100 Gramm,Schale 400 Gramm,aldi-sued,0.338,0,1.35,100 Gramm,Schale 400 Gramm,aldi-sued,0.338
1,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,1,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
2,2,Desira Grieß Pudding Pur,0.35,100 Gramm,Becher 175 Gramm,aldi-sued,0.2,2,0.35,100 Gramm,Becher 175 Gramm,aldi-sued,0.2
3,3,"bio Aldi Süd frische Bio-Vollmilch längerfrisch, 3,8% Fett",1.05,100 ml,Getränkekarton 1 L,aldi-sued,0.105,3,1.05,100 ml,Getränkekarton 1 L,aldi-sued,0.105
4,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,4,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
5,5,Landvogt Original Schwäbische Maultaschen mit einer leckeren Fleisch-Füllung,1.29,100 Gramm,Packung 360 Gramm,aldi-sued,0.36,5,1.29,100 Gramm,Packung 360 Gramm,aldi-sued,0.36
6,6,Choco Bistro Doppelino Haselnusskekse mit Cremefüllung,1.69,100 Gramm,Packung 500 Gramm,aldi-sued,0.34,6,1.69,100 Gramm,Packung 500 Gramm,aldi-sued,0.34
7,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,7,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
8,8,Aldi Süd bio Honig flüssig,3.55,100 Gramm,Glas 500 Gramm,aldi-sued,0.71,8,3.55,100 Gramm,Glas 500 Gramm,aldi-sued,0.71
9,9,Choceur Aldi Süd Schoko Milch Riegel,1.29,100 Gramm,Packung 200 Gramm,aldi-sued,0.65,9,1.29,100 Gramm,Packung 200 Gramm,aldi-sued,0.65
10,10,Bio Aldi Süd Bio Hackfleisch gemischt,3.59,100 Gramm,Packung 400 Gramm,aldi-sued,0.898,10,3.59,100 Gramm,Packung 400 Gramm,aldi-sued,0.898
