,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,0,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001
1,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,1,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354
2,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,12,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466
3,27,Dr. Oetker Rote Grütze herrlich fruchtig,1.99,100 Gramm,Becher 500 Gramm,aldi-sued,0.39799999999999996,90,1.68,100 Gramm,Becher 500 Gramm,edeka,0.336
4,35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856,137,11.99,100 ml,Flasche Glas 0.7 L,edeka,1.713
5,42,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309,66,1.59,100 Gramm,"Packung 420 Gramm, 6 Stück",edeka,0.379
6,110,Brokkoli frisch,0.99,100 Gramm,Folie 500 Gramm,aldi-sued,0.198,2565,1.59,100 ml,Dose 0.485 L,edeka,0.328
7,120,Bürger Eierspätzle Original schwäbisch,3.29,100 Gramm,Packung 1000 Gramm,aldi-sued,0.32899999999999996,913,1.49,100 Gramm,Packung 500 Gramm,edeka,0.298
8,129,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15,372,2.69,100 Gramm,Packung 230 Gramm,edeka,1.17
9,151,Bertolli Extra Vergine Originale das Fruchtige,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138,220,3.29,100 ml,Flasche Glas 500 ML,edeka,0.6579999999999999
10,157,EDEKA Bratapfel Eis,1.69,100 ml,Packung 260 ML,aldi-sued,0.65,151,1.58,100 ml,Packung 260 ML,edeka,0.608
11,158,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071,113,0.95,100 ml,Pet-Flasche 1.5 L,edeka,0.063
12,218,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532,657,2.69,100 ml,Flasche Glas 0.75 L,edeka,0.359
13,219,President Meersalzbutter mit Meersalzkörner,3.19,100 Gramm,Becher 250 Gramm,aldi-sued,1.28,62,3.29,100 Gramm,Becher 250 Gramm,edeka,1.32
14,255,Milka Alpenmilch Schokolade,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95,43,0.79,100 Gramm,Tafel 100  Gramm,edeka,0.79
15,257,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75,63,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",edeka,1.75
16,268,Wirsing Deutschland,0.99,100 Gramm, 1 KG,aldi-sued,0.099,4016,0.69,100 Gramm, 1 KG,edeka,0.06899999999999999
17,278,Mon Cheri Piemont Kirsche,2.99,100 Gramm,"15 Stück, Packung 157 Gramm",aldi-sued,1.9,303,1.15,100 Gramm,Tafel 100  Gramm,edeka,1.15
18,279,Weihenstephan Frische Tafelbutter 82% Fett,1.49,100 Gramm,Packung 250  Gramm,aldi-sued,0.6,248,0.99,100 Gramm,Packung 250  Gramm,edeka,0.4
19,280,Ferrero Küsschen,2.99,100 Gramm,"Packung 178 Gramm, 20 Stück",aldi-sued,1.68,1708,1.99,100 Gramm,"Packung 178 Gramm, 20 Stück",edeka,1.12
20,378,Dr. Oetker Paradies Creme Vanille Geschmack,0.89,100 Gramm,Packung 63 Gramm,aldi-sued,1.41,3367,0.59,100 Gramm,Packung 63 Gramm,edeka,0.94
21,416,Ananas frisch,1.79,Preis pro Stück, 1 Stück,aldi-sued,1.79,5528,1.79,Preis pro Stück, 1 Stück,edeka,1.79
22,425,Jack Daniels Whisky Old Time No. 7 40 % Vol.,17.99,100 ml,Flasche Glas 0.7 L,aldi-sued,2.57,140,14.99,100 ml,Flasche Glas 0.7 L,edeka,2.141
23,463,Landliebe Grieß Pudding Traditionell,0.99,100 Gramm,Becher 330 Gramm,aldi-sued,0.3,1399,0.69,100 Gramm,Becher 150 Gramm,edeka,0.46
24,474,Havana Club Anejo 3 Anos 3 Jahre,4.99,100 Gramm,Beutel 450 Gramm,aldi-sued,1.109,44,13.99,100 ml,Flasche Glas 0.7 L,edeka,1.999
25,480,Coca Cola Light,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071,305,0.69,100 Gramm,"Packung 93 Gramm, 10 Stück",edeka,0.74
26,500,Fernet Branca,13.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.999,4107,8.77,100 ml,Flasche Glas 0.7 L,edeka,1.253
27,572,Linie Aquavit,18.99,100 ml,Flasche Glas 700 ML,aldi-sued,2.713,4427,16.99,100 ml,Flasche Glas 700 ML,edeka,2.427
28,573,Osborne Veterano,11.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.713,4547,8.99,100 ml,Flasche Glas 0.7 L,edeka,1.284
29,575,Moskovskaya Russischer Wodka,8.49,100 ml,Flasche Glas 0.5 L,aldi-sued,1.6980000000000002,4095,7.99,100 ml,Flasche Glas 0.5 L,edeka,1.598
30,576,Rotkäppchen Sekt Trocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532,4219,1.29,100 ml,Flasche Glas 0.2 L,edeka,0.645
31,579,Ouzo Plomari 40 % Vol.,11.99,100 ml,Geschenkpackung + Glas,aldi-sued,1.713,4551,8.99,100 ml,Flasche Glas 0.7 L,edeka,1.284
32,580,Lavazza Caffe Crema Classico,12.99,100 Gramm,Beutel 1000 Gramm,aldi-sued,1.2990000000000002,2527,13.59,100 Gramm,Beutel 1000 Gramm,edeka,1.359
33,581,Johnny Walker Black Label 12 years,24.99,100 ml,Flasche Glas 0.7 L,aldi-sued,3.5700000000000003,4983,26.99,100 ml,Flasche Glas 0.7 L,edeka,3.856
34,646,Ferrero Milchschnitte,1.79,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-sued,0.64,16,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92
35,648,Haribo Goldbären,0.89,100 Gramm,Beutel 300 Gramm,aldi-sued,0.3,367,0.55,100 Gramm,Beutel 200 Gramm,edeka,0.28
36,649,Pfanner Der Grüne Tee Zitrone-Kaktusfeige,0.99,100 ml,Getränkekarton 2 L,aldi-sued,0.05,148,1.44,100 ml,Getränkekarton 2 L,edeka,0.07200000000000001
37,650,Capri Sonne Orange 10-er Pack 10 x 0.2 L,1.69,100 ml,Pack 2 L,aldi-sued,0.08499999999999999,231,1.99,100 ml,Pack 2 L,edeka,0.1
38,652,Funny Frisch Chipsfrisch Ungarisch,1.19,100 Gramm,Beutel 175 Gramm,aldi-sued,0.68,139,1.29,100 Gramm,Beutel 175 Gramm,edeka,0.74
39,708,Orangen,2.39,100 Gramm,Netz 2 KG,aldi-sued,0.12,5567,3.99,100 Gramm,Packung 1000 Gramm,edeka,0.39899999999999997
40,708,Orangen,2.39,100 Gramm,Netz 2 KG,aldi-sued,0.12,7742,2.99,100 Gramm,Netz 3 KG,edeka,0.1
41,733,Baileys Original Irish Cream,6.99,100 ml,"Flasche Sondergröße 0,5 Liter",aldi-sued,1.398,655,13.99,100 ml,Flasche Glas 700 ML,edeka,1.999
42,734,Ernst Wagners Original Pizza Diavola,2.99,100 Gramm,Packung Ernst Wagners,aldi-sued,0.6950000000000001,1124,2.59,100 Gramm,Packung 350 Gramm,edeka,0.74
43,744,Schneekoppe Bio Rote Bete Saft,0.85,100 ml,Getränkekarton 500ml,aldi-sued,0.16999999999999998,3778,0.99,100 ml,Flasche Glas 330 ML,edeka,0.3
44,958,Himbeeren frisch,1.99,100 Gramm,Packung 100 Gramm,aldi-sued,1.99,4376,2.99,100 Gramm,Schale 125 Gramm,edeka,2.39
45,1020,Äpfel Braeburn,0.89,100 Gramm, 1 KG,aldi-sued,0.08900000000000001,975,0.99,100 Gramm, 1 KG,edeka,0.099
46,1022,Wassermelone,2.55,100 Gramm, 1 Stück,aldi-sued,0.0,899,1.29,100 Gramm, 1 KG,edeka,0.129
47,1024,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-sued,0.6990000000000001,973,7.99,100 Gramm,Packung 1000 Gramm,edeka,0.799
48,1083,Abraham Katenschinken gewürfelt,1.49,100 Gramm,"Packung 211.5 Gramm, 9 x 23,5",aldi-sued,0.7,4477,1.79,100 Gramm,Packung 80 Gramm,edeka,2.24
49,1084,Kinder Country,2.99,100 Gramm,Packung 420 Gramm,aldi-sued,0.7120000000000001,1277,1.79,100 Gramm,"Packung 211.5 Gramm, 9 x 23,5",edeka,0.85
50,1118,Mango frisch,1.49,100 Gramm,Packung 400 Gramm,aldi-sued,0.373,2739,0.99,Preis pro Stück,"Mango Shelly essreif, faserarm aus Peru 1 Stück",edeka,0.99
51,1173,"Südzucker Fein Zucker feinkörnig, rasch löslich",0.85,100 Gramm,Packung 1000 Gramm,aldi-sued,0.08499999999999999,2269,1.09,100 Gramm,Packung 1000 Gramm,edeka,0.109
52,1178,Kinder Pingui Schoko,1.89,100 Gramm,"Family Pack 240 Gramm, 8 x 30 g",aldi-sued,0.79,681,1.29,100 Gramm,"Packung 120 Gramm, 4 Stück",edeka,1.08
