,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,15,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
1,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,0,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
2,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,39,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999
3,35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856,312,9.99,100 ml,Flasche Glas 0.7 L,kaufland,1.4269999999999998
4,42,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309,20,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",kaufland,0.309
5,110,Brokkoli frisch,0.99,100 Gramm,Folie 500 Gramm,aldi-sued,0.198,136,1.19,100 Gramm,Folie 500 Gramm,kaufland,0.23800000000000002
6,120,Bürger Eierspätzle Original schwäbisch,3.29,100 Gramm,Packung 1000 Gramm,aldi-sued,0.32899999999999996,548,2.89,100 Gramm,Packung 1000 Gramm,kaufland,0.28900000000000003
7,129,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15,321,1.99,100 Gramm,"Packung 150  Gramm, 15 Stück",kaufland,1.33
8,151,Bertolli Extra Vergine Originale das Fruchtige,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138,186,4.29,100 ml,Flasche Glas 500 ML,kaufland,0.858
9,155,Tillmann Cevapcici vom Rindfleisch,5.59,100 Gramm,Packung 1000 Gramm,aldi-sued,0.5589999999999999,334,4.99,100 Gramm,Packung 1000 Gramm,kaufland,0.499
10,158,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071,113,0.49,100 ml,Dose 330 ML,kaufland,0.14800000000000002
