,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,5,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
1,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,4,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
2,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,70,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003
3,27,Dr. Oetker Rote Grütze herrlich fruchtig,1.99,100 Gramm,Becher 500 Gramm,aldi-sued,0.39799999999999996,127,2.29,100 Gramm,Becher 500 Gramm,rewe,0.45799999999999996
4,35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856,235,12.59,100 ml,Flasche Glas 0.7 L,rewe,1.7990000000000002
5,42,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309,182,0.79,100 ml,Getränkekarton 1 L,rewe,0.079
6,110,Brokkoli frisch,0.99,100 Gramm,Folie 500 Gramm,aldi-sued,0.198,2355,1.29,100 Gramm,Folie 500 Gramm,rewe,0.258
7,120,Bürger Eierspätzle Original schwäbisch,3.29,100 Gramm,Packung 1000 Gramm,aldi-sued,0.32899999999999996,710,1.99,100 Gramm,Packung 1000 Gramm,rewe,0.19899999999999998
8,151,Bertolli Extra Vergine Originale das Fruchtige,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138,223,4.49,100 ml,Flasche Glas 500 ML,rewe,0.898
9,158,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071,109,1.65,100 ml,Pet-Flasche 2 L,rewe,0.08299999999999999
10,218,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532,604,2.69,100 ml,Flasche Glas 0.75 L,rewe,0.359
11,255,Milka Alpenmilch Schokolade,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95,159,1.69,100 Gramm,Tafel 300 Gramm,rewe,0.56
12,257,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75,656,2.29,100 Gramm,"Packung 200 Gramm, 16 Stück",rewe,1.15
13,268,Wirsing Deutschland,0.99,100 Gramm, 1 KG,aldi-sued,0.099,2105,0.79,100 Gramm, 1 KG,rewe,0.079
14,278,Mon Cheri Piemont Kirsche,2.99,100 Gramm,"15 Stück, Packung 157 Gramm",aldi-sued,1.9,949,2.89,100 Gramm,"15 Stück, Packung 157 Gramm",rewe,1.84
15,279,Weihenstephan Frische Tafelbutter 82% Fett,1.49,100 Gramm,Packung 250  Gramm,aldi-sued,0.6,386,0.77,100 Gramm,Becher 150  Gramm,rewe,0.51
16,280,Ferrero Küsschen,2.99,100 Gramm,"Packung 178 Gramm, 20 Stück",aldi-sued,1.68,583,2.25,100 Gramm,"Packung 124 Gramm, 14 Pralinen",rewe,1.81
17,378,Dr. Oetker Paradies Creme Vanille Geschmack,0.89,100 Gramm,Packung 63 Gramm,aldi-sued,1.41,2574,0.85,100 Gramm,Packung 63 Gramm,rewe,1.35
18,416,Ananas frisch,1.79,Preis pro Stück, 1 Stück,aldi-sued,1.79,4013,0.88,Preis pro Stück, 1 Stück,rewe,0.88
