,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Landbeck / Aldi Nord Meister Bratwurst,2.59,100 Gramm,"Packung 540 Gramm, 6 x 90g",aldi-nord,Fleisch Wurst Aufschnitt,0.48
1,Mertenbach Leberwurst fein,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.57
2,Mertenbach Leberwurst grob,0.99,100 Gramm,Becher 175 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.57
3,Gut Drei Eichen Edelsalami,4.29,100 Gramm,Folie 650 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.6599999999999999
4,Landbeck / Aldi Nord Wiener Würstchen,2.79,100 Gramm,Packung 400 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.6980000000000001
5,Güldenhof Geflügel Wiener Würstchen,1.89,100 Gramm,Packung 300 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.63
6,Mertenbach Teewurst fein,0.99,100 Gramm,Becher 125 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.79
7,Landbeck / Aldi Nord Schinken-Pfefferlinge,2.79,100 Gramm,Packung 300 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.93
8,Böklunder Hähnchenbrust Filetstücke Klassik,1.89,100 Gramm,Schale 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.26
9,Landbeck / Aldi Nord Mini Schinkenknacker herzhaft & heißgeräuchert,1.99,100 Gramm,Packung 200 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.0
10,Landbeck / Aldi Nord Mini Schinkenknacker geräuchert Rohwurst,1.99,100 Gramm,Packung 200 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.0
11,Landbeck Schinken Bockwürstchen,1.29,100 Gramm,Glas 380 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.34
12,Gut Drei Eichen Hauchfein Aufschnitt Putenbrust mit Honig 2 % Fett,1.79,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.19
13,Gut Drei Eichen Katenschinken,1.79,100 Gramm,Packung 250 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.72
14,Gut Drei Eichen Leicht & lecker Rohschinken,1.79,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.19
15,"Gut Bio Landsalami luftgetrocknet, in Scheiben",1.99,100 Gramm,Packung 125 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.59
16,"Gut Bio Landsalami mit grünem Pfeffer, in Scheiben",1.99,100 Gramm,Packung 125 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.59
17,Mertenbach Teewurst light,0.99,100 Gramm,Becher 125 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.79
18,Mertenbach Teewurst grob,0.99,100 Gramm,Becher 125 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.79
19,Landbeck / Aldi Nord Mini Kabanossi mit Käse,1.99,100 Gramm,Packung 250 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.8
20,Landbeck / Aldi Nord Mini Kabanossi scharf,1.99,100 Gramm,Packung 250 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.8
21,Güldenhof Geflügel Wiener Würstchen mit Käse und Paprika,1.89,100 Gramm,Packung 300 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.63
22,Gourmet Gänsebrust,1.99,100 Gramm,Packung 80 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,2.49
23,Rolffes / Aldi Nord Pastrami mit Pfefferkruste,1.99,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.33
24,Disney Küche Fleischwurst,1.29,100 Gramm,,aldi-nord,Fleisch Wurst Aufschnitt,0.86
25,Disney Küche Wiener Würstchen,1.29,100 Gramm,Packung 175 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.737
26,Rolffes / Aldi Nord Schweine Braten,1.29,100 Gramm,Packung 100 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.29
27,Tremondi Salami pur porc am Stück,1.99,100 Gramm,Folie 250 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.8
28,Gut Drei Eichen Leicht-Kost Edelgemüse in Aspik,1.59,100 Gramm,Packung 200 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.8
29,Rolffes / Aldi Nord Original Ahle Wurst Mettwurst,1.39,100 Gramm,Packung 100 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.39
30,Güldenhof gebratene Hähnchenbrust Streifen,1.75,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.17
31,Güldenhof gebratene Putenbrust Streifen,1.75,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.17
32,"Güldenhof Hähnchenbrustfilet Klassik, gepöckelt und gegart, aufgeschnitten",0.99,100 Gramm,Packung 115 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.86
33,"Güldenhof Putenbrustfilet Kräuter, gepöckelt und gegart, aufgeschnitten",0.99,100 Gramm,Packung 100 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.99
34,Gut Drei Eichen Hauchfein Aufschnitt Schinken gebacken 2 % Fett,1.79,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.19
35,Gut Drei Eichen Hauchfein Aufschnitt Schinken mit Pfeffer 2 % Fett,1.79,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.19
36,Gut Drei Eichen Hauchfein Aufschnitt Delikatess Salami 50 % weniger Fett,1.79,100 Gramm,Packung 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.19
37,Güldenhof Hähnchenbrust Filetstücke Mexico,1.69,100 Gramm,Schale 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.13
38,Gut Drei Eichen Bauchspeck,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.7
39,Gut Drei Eichen fettarm & lecker Hähnchenbrust gewürfelt in Aspik mit Sauergemüse,1.59,100 Gramm,Packung 200 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.8
40,Güldenhof Geflügel Fleischwurst,1.49,100 Gramm,Packung 400 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.373
41,"Güldenhof Putenbrustfilet Klassik, gepöckelt und gegart, aufgeschnitten",0.99,100 Gramm,Packung 100 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.99
42,HoWe Nürnberger Rostbratwurst Original Nürnberger,1.99,100 Gramm,Vakuum 300 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.66
43,Güldenhof Hähnchenbrust Filetstücke Klassik,1.69,100 Gramm,Schale 150 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.13
44,Aldi Nord Iska Salami ungarisch,3.99,100 Gramm,Folie 400 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,1.0
45,Gut Bio Hackfleisch Schwein/ Rind,3.59,100 Gramm,Packung 400 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.898
46,Bauernglück Schweine-Nackenkoteletts,3.19,100 Gramm,Packung 700 Gramm,aldi-nord,Fleisch Wurst Aufschnitt,0.45599999999999996
