,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,"Solo Luxus Toilettenpapier 4-lagig, 10 x 160 Blatt",2.95,Preis pro 1000 Blatt,Packung 1600 Blatt,aldi-nord,Drogerie,1.84
1,"Kokett Toilettenpapier 4-lagig, 10 x 160 Blatt",3.35,Preis pro 1000 Blatt,Packung 1600 Blatt,aldi-nord,Drogerie,2.09
2,"Kokett Küchenrollen 3-lagig, 4 x 51 Blatt",1.55,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-nord,Drogerie,7.6
3,Akuta Geschirrspülmittel Original,0.75,100 ml,Flasche Kunststoff 500 ML,aldi-nord,Drogerie,0.15
4,Akuta Geschirrspülmittel Balsam,0.75,100 ml,Flasche Kunststoff 500 ML,aldi-nord,Drogerie,0.15
5,Akuta Geschirrspülmittel Citrus-Frische,0.75,100 ml,Flasche Kunststoff 500 ML,aldi-nord,Drogerie,0.15
6,alio Geschirr Reiniger Tabs All in One,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-nord,Drogerie,7.38
7,Kiona Creme Seife Mandelmilch,0.75,100 ml,Spenderflasche 500 ML,aldi-nord,Drogerie,0.15
8,"Kokett Toilettenpapier 3-lagig, 10 x 200 Blatt",2.95,Preis pro 1000 Blatt,Packung 2000 Blatt,aldi-nord,Drogerie,1.48
9,"Kokett Taschentücher 4-lagig, 30 x10 Tücher",1.85,Preis pro Stück,Packung 30 Stück,aldi-nord,Drogerie,0.06
10,Folia / Aldi Nord Frischhaltefolie,0.95,Preis pro 1 Meter,Packung 75 Meter,aldi-nord,Drogerie,0.0
11,"Vibelle Baby Komforttücher Sensitive, 2 x 80 Tücher",2.39,Preis pro 100 Stück,Packung 160 Stück,aldi-nord,Drogerie,1.49
12,Eldena Body Lotion für normale Haut,1.15,100 Gramm,Flasche Kunststoff 500 Gramm,aldi-nord,Drogerie,0.0
13,"Kokett Recycling Toilettenpapier 3-lagig,  8 x 200 Blatt",2.15,Preis pro 1000 Blatt,Packung 1600 Blatt,aldi-nord,Drogerie,1.34
14,Topic Creation der Saison Delikates Ragout mit Edelfisch in Kräutersauce,0.25,100 Gramm,Schale 100 Gramm,aldi-nord,Drogerie,0.25
15,una Alles Reiniger kraftvoll gegen Schmutz auf allen Flächen,1.29,100 ml,Sprühflasche 750 ML,aldi-nord,Drogerie,0.172
16,una Küchen Reiniger kraftvoll gegen Fett und Schmutz,1.29,100 ml,Sprühflasche 750 ML,aldi-nord,Drogerie,0.172
17,eurodont Zahncreme Aktiv Fresh,0.39,100 ml,Tube 125 ML,aldi-nord,Drogerie,0.31
18,Vitalis /Aldi Nord Vitamin B12 Vital Kur Himbeere,6.99,Preis pro Stück,Packung 10 Stück,aldi-nord,Drogerie,0.7
19,Kiona Creme Seife Wilde Feige,0.75,100 ml,Spenderflasche 500 ML,aldi-nord,Drogerie,0.15
20,Vitalis /Aldi Nord Calcium Tabletten,3.79,Preis pro Stück,Packung 150 Stück,aldi-nord,Drogerie,0.03
21,Vitalis /Aldi Nord Magnesium Tabletten,3.79,Preis pro Stück,Packung 150 Stück,aldi-nord,Drogerie,0.03
22,eurodont Zahncreme Mint Fresh,0.39,100 ml,Tube 125 ML,aldi-nord,Drogerie,0.31
23,Putzmeister / Aldi Nord Allesreiniger Citrusfrische,0.89,100 ml,Flasche Kunststoff 1000 ML,aldi-nord,Drogerie,0.089
24,Kiona Creme Seife Vanilleblüte,0.69,100 ml,Spenderflasche 500 ML,aldi-nord,Drogerie,0.13799999999999998
25,Putzmeister Glasreiniger Spray Maifrisch,0.95,100 ml,Sprühflasche 1 L,aldi-nord,Drogerie,0.095
26,"Kokett Feuchte Tücher 150 Stück,  Dose",1.15,Preis pro Stück,Dose 150 Stück,aldi-nord,Drogerie,0.01
27,Biocura Body Milk,1.15,100 ml,Flasche Kunststoff 500 ML,aldi-nord,Drogerie,0.22999999999999998
28,Vitalis /Aldi Nord Magnesium 375mg Tabletten,1.79,Preis pro Stück,Packung 30 Stück,aldi-nord,Drogerie,0.06
29,"Putzmeister Schwammtuch aus Naturfaser, 5 Stück",0.85,Preis pro Stück,Packung 5 Stück,aldi-nord,Drogerie,0.17
30,Vibelle Baby Komforttücher Comfort,2.39,Preis pro 100 Stück,Packung 160 Stück,aldi-nord,Drogerie,1.49
31,"Unamat Ultra Plus Colorwaschmittel 2,025 kg",3.59,Preis pro Waschladung,Packung 30 Waschladungen,aldi-nord,Drogerie,0.12
32,Folia Alu Folie 30 Meter,1.59,Preis pro 1 Meter,Packung 30 Meter,aldi-nord,Drogerie,0.0
33,Satessa Wattestäbchen 100% Baumwolle,0.55,Preis pro 100 Stück,Box 300 Stück,aldi-nord,Drogerie,0.18
34,Folia Müllbeutel 50 Liter,0.65,Preis pro Stück,Rolle 20 Stück,aldi-nord,Drogerie,0.03
35,eurodont Zahncreme Multicare,0.79,100 ml,Tube 125 ML,aldi-nord,Drogerie,0.63
36,eurodont Zahncreme Zahnweiss,0.79,100 ml,Tube 125 ML,aldi-nord,Drogerie,0.63
37,Folia Zugband Abfallsäcke 60 Liter,2.59,Preis pro Stück,Rolle 25 Stück,aldi-nord,Drogerie,0.1
38,Folia Zugband Abfallsäcke 120 Liter,2.59,Preis pro Stück,Rolle 15 Stück,aldi-nord,Drogerie,0.17
39,Folia Müllbeutel 25 Liter,0.65,Preis pro Stück,Rolle 30 Stück,aldi-nord,Drogerie,0.02
40,Putzmeister Glasreiniger Spray Meeresfrisch,0.95,100 ml,Sprühflasche 1L,aldi-nord,Drogerie,0.095
41,"Folia Frühstücksbeutel 18 x 26  cm, ca. 1,4 Liter",0.45,Preis pro 100 Stück,Rolle 120 Stück,aldi-nord,Drogerie,0.38
42,Putzmeister / Aldi Nord Allesreiniger Bachblüten Frische,0.89,100 Gramm,Flasche Kunststoff 1000 Gramm,aldi-nord,Drogerie,0.089
43,"Solo Saugwunder Haushaltsrollen 3-lagig, 4 x 51 Blatt",1.42,Preis pro 1000 Blatt,Packung 204 Blatt,aldi-nord,Drogerie,6.96
44,Biocura Body Lotion,1.15,100 ml,Flasche Kunststoff 500 ML,aldi-nord,Drogerie,0.23
45,"una Kalk Reiniger kraftvoll gegen Kalk, Seifenreste und Rost",1.29,100 ml,Sprühflasche 750 ML,aldi-nord,Drogerie,0.172
46,Alnutra Hundetrockennahrung,2.99,100 Gramm,Beutel 3 KG,aldi-nord,Drogerie,0.1
47,Premium Edel Cat / Aldi Nord 8 Portionsmahlzeiten in Sauce,0.89,100 Gramm,Packung 1000 Gramm,aldi-nord,Drogerie,0.089
48,Schnucki Katzentrockenfutter Geflügel und Gemüse,3.49,100 Gramm,Packung 10 KG,aldi-nord,Drogerie,0.034999999999999996
49,Aldi Nord Hartholzbriketts,4.99,Preis pro 100 Stück,Packung 100 Stück,aldi-nord,Drogerie,4.99
50,Aldi Nord Einmalhandschuhe,6.95,Preis pro Stück,Packung 10 Stück,aldi-nord,Drogerie,0.7
51,Vitalis /Aldi Nord Vitamin B12 Vital Kur Typ Mango Maracuja,2.59,Preis pro Waschladung,Nachfüllpackung 2 KG,aldi-nord,Drogerie,0.0
52,"Feefein / Aldi Nord Feinwaschmittel Pulver Compact, Nachfüllpackung",0.95,Preis pro 1000 Blatt,Packung 30 Blatt,aldi-nord,Drogerie,31.67
53,Folia Backpapier Zuschnitte 38 x 42 cm,0.55,100 ml,Flasche Kunststoff 750 ML,aldi-nord,Drogerie,0.073
54,Moc Scheuermilch mit Citrus-Kraft,0.49,100 Gramm,Pack 125 Gramm,aldi-nord,Drogerie,0.39
55,Sana Seife milde Cremeseife,0.79,100 Gramm,Dose 1240 Gramm,aldi-nord,Drogerie,0.064
