,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001,2,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
1,1,Nutella,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354,1,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
2,3,Iglo Fischstäbchen,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999,4,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999
3,12,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466,19,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001
4,16,Ferrero Milchschnitte,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92,177,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71
5,27,Meica Curry King,1.99,100 Gramm,Packung 220 Gramm,edeka,0.9,18,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68
6,63,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",edeka,1.75,413,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-nord,1.75
7,64,Dr. Oetker Ristorante Pizza Salame,1.66,100 Gramm,Karton 320 Gramm,edeka,0.52,122,2.49,100 Gramm,Karton 320 Gramm,aldi-nord,0.78
8,65,Kerrygold Original Irische Butter mildgesäuert,1.11,100 Gramm,Packung 250  Gramm,edeka,0.44,98,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263
9,72,Iglo Rahmspinat der mit dem Blubb,1.59,100 Gramm,Packung 500 Gramm,edeka,0.318,25,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,0.252
10,139,Funny Frisch Chipsfrisch Ungarisch,1.29,100 Gramm,Beutel 175 Gramm,edeka,0.74,79,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79
11,146,De Beukelaer Prinzen Rolle mit Kakaocreme,1.49,100 Gramm,Rolle 400 Gramm,edeka,0.37,228,1.49,100 Gramm,Rolle 400 Gramm,aldi-nord,0.37
12,298,Maggi Würze Tischflasche,0.89,100 Gramm,Becher 200 Gramm,edeka,0.45,78,1.69,100 Gramm,Flasche Glas 250 Gramm,aldi-nord,0.68
13,303,Mon Cheri Piemont Kirsche,1.15,100 Gramm,Tafel 100  Gramm,edeka,1.15,715,2.99,100 Gramm,"15 Stück, Packung 157 Gramm",aldi-nord,1.9
14,367,Haribo Goldbären,0.55,100 Gramm,Beutel 200 Gramm,edeka,0.28,56,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,0.5
15,372,Raffaello Pralinen Kokos-Mandel,2.69,100 Gramm,Packung 230 Gramm,edeka,1.17,145,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3
16,389,Ferrero Kinder Riegel,2.5,100 Gramm,"Packung 420 Gramm, 20 Riegel Sparpack",edeka,0.6,146,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,0.95
17,392,Deli Reform Margarine Das Original,0.88,100 Gramm,Becher 500  Gramm,edeka,0.17600000000000002,176,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,1.41
18,538,Wagner herzhafter Flammkuchen Unser Original,2.59,100 Gramm,Packung 300 Gramm,edeka,0.86,123,2.29,100 Gramm,Packung 300 Gramm,aldi-nord,0.76
19,657,Rotkäppchen Sekt Halbtrocken,2.69,100 ml,Flasche Glas 0.75 L,edeka,0.359,219,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532
20,672,Dr. Oetker Vitalis Schoko Müsli klassisch,2.22,100 Gramm,Packung 600 Gramm,edeka,0.37,469,2.79,100 Gramm,Packung 600 Gramm,aldi-nord,0.465
21,677,Original Wagner Steinofen Pizza Salami,2.59,100 Gramm,Packung 320  Gramm,edeka,0.81,121,2.29,100 Gramm,Packung 320  Gramm,aldi-nord,0.72
22,681,Kinder Pingui Schoko,1.29,100 Gramm,"Packung 120 Gramm, 4 Stück",edeka,1.08,472,1.99,100 Gramm,"Family Pack 240 Gramm, 8 x 30 g",aldi-nord,0.83
23,807,Rosenkohl,1.98,100 Gramm,Netz 500 Gramm,edeka,0.396,289,0.99,100 Gramm,Netz 750 Gramm,aldi-nord,0.132
24,822,Miracel Whip Klassik,1.29,100 ml,Glas 500 ML,edeka,0.258,227,1.59,100 ml,Glas 500 ML,aldi-nord,0.318
25,911,Kölln Blütenzarte Köllnflocken,1.99,100 Gramm,Packung 180 Gramm,edeka,1.11,300,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.198
26,940,Dr. Oetker Paradies Creme Sahne-Karamell-Geschmack,0.59,100 Gramm,Packung 76 Gramm,edeka,0.78,301,0.79,100 Gramm,Packung 76 Gramm,aldi-nord,1.04
27,961,Haribo Lakritz Schnecken,0.85,100 Gramm,Beutel 200 Gramm,edeka,0.43,2397,0.89,100 Gramm,Beutel 300 Gramm,aldi-nord,0.3
28,973,Dr. Quendt Echter Dresdner Christstollen,7.99,100 Gramm,Packung 1000 Gramm,edeka,0.799,264,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001
29,975,Äpfel Braeburn,0.99,100 Gramm, 1 KG,edeka,0.099,964,0.45,100 Gramm,Glas 680 Gramm,aldi-nord,0.066
30,984,Miracle Whip Balance,1.29,100 ml,Glas 500 ML,edeka,0.258,226,1.59,100 ml,Glas 500 ML,aldi-nord,0.318
31,998,Red Bull Energy Drink,0.99,100 ml,Dose 250 ML,edeka,0.396,446,1.09,100 ml,Dose 250 ML,aldi-nord,0.4360000000000001
32,999,Krombacher Pils,3.99,100 ml,"Pack 3 L, 6 x 500 ml",edeka,0.133,218,0.79,100 ml,"Dose 0,5L",aldi-nord,0.158
33,1010,Rügen Fisch Heringsfilets in Tomaten-Creme,0.89,100 Gramm,Dose 200 Gramm,edeka,0.45,1245,0.79,100 Gramm,Dose 200 Gramm,aldi-nord,0.4
