,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001,15,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
1,1,Nutella,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354,0,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
2,2,Becel Gold 70 % Fett,1.49,100 Gramm,Becher 250 Gramm,edeka,0.6,12,1.39,100 Gramm,Becher 250 Gramm,kaufland,0.56
3,3,Iglo Fischstäbchen,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999,1,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753
4,5,"Landliebe Landkäse Original, 50 % Fett",2.29,100 Gramm,Packung 175 Gramm,edeka,1.31,13,1.99,100 Gramm,Packung 175 Gramm,kaufland,1.14
5,6,Oettinger Original Pils,0.3,100 ml,Flasche Glas 0.33 L,edeka,0.091,18,6.4,100 ml,Kasten 10 L,kaufland,0.064
6,9,Clausthaler Classic,3.79,100 ml,Pack 1.98 L,edeka,0.191,17,3.78,100 ml,Pack 1.98 L,kaufland,0.191
7,10,Ritter Sport Schokolade Joghurt,1.15,100 Gramm,Tafel 100 Gramm,edeka,1.15,61,2.59,100 Gramm,Tafel 250 Gramm,kaufland,1.04
8,12,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466,39,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999
9,13,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198,3,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358
10,14,Frosta Schlemmer-Filet Knusper Bordelaise,3.29,100 Gramm,Packung 360 Gramm,edeka,0.914,36,2.99,100 Gramm,Packung 360 Gramm,kaufland,0.8310000000000001
11,16,Ferrero Milchschnitte,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92,8,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71
