,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001,0,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
1,1,Nutella,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354,3,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997
2,3,Iglo Fischstäbchen,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999,5,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753
3,5,"Landliebe Landkäse Original, 50 % Fett",2.29,100 Gramm,Packung 175 Gramm,edeka,1.31,15,1.59,100 Gramm,Packung 175 Gramm,lidl,0.91
4,12,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466,38,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466
5,13,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198,36,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18
6,16,Ferrero Milchschnitte,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92,292,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9
7,30,Kinder Schokolade,0.77,100 Gramm,"Tafel 100 Gramm, 8 Riegel",edeka,0.77,42,1.11,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",lidl,0.89
8,31,Zentis Nusspli Nuss Nougat Creme,1.59,100 Gramm,Becher 400 Gramm,edeka,0.39799999999999996,111,0.99,100 Gramm,Becher 400 Gramm,lidl,0.248
9,34,Dr. Oetker Die Ofenfrische Pizza Speciale,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54,41,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61
10,34,Dr. Oetker Die Ofenfrische Pizza Speciale,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54,1491,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74
11,37,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",2.99,100 Gramm,Packung 240 Gramm,edeka,1.25,57,1.66,100 Gramm,Packung 240 Gramm,lidl,0.69
12,39,Light Live hugo Alcohol Free,2.49,100 ml,Flasche Glas 0.75 L,edeka,0.332,90,2.49,100 ml,Flasche Glas 0.75 L,lidl,0.332
13,43,Milka Alpenmilch Schokolade,0.79,100 Gramm,Tafel 100  Gramm,edeka,0.79,8,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09
14,44,Havana Club Anejo 3 Anos 3 Jahre,13.99,100 ml,Flasche Glas 0.7 L,edeka,1.999,2156,10.99,100 ml,Flasche Glas 0.7 L,lidl,1.5699999999999998
15,58,Danone Actimel Classic,1.69,100 Gramm,"Packung 400 Gramm, 4 x 100 g",edeka,0.423,59,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332
16,62,President Meersalzbutter mit Meersalzkörner,3.29,100 Gramm,Becher 250 Gramm,edeka,1.32,1915,1.79,100 Gramm,Becher 250 Gramm,lidl,0.72
17,63,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",edeka,1.75,275,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75
18,64,Dr. Oetker Ristorante Pizza Salame,1.66,100 Gramm,Karton 320 Gramm,edeka,0.52,467,2.69,100 Gramm,Karton 320 Gramm,lidl,0.84
19,65,Kerrygold Original Irische Butter mildgesäuert,1.11,100 Gramm,Packung 250  Gramm,edeka,0.44,17,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96
