,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Coca Cola,"3,29 €","9,14 €",Preis pro 1 KG,(Packung 360 Gramm),edeka
1,Nutella,"1,39 €","0,93 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),edeka
2,Becel Gold 70 % Fett,"1,77 €","3,54 €",Preis pro 1 KG,"(Glas 500 Gramm, + 50 g Gratis)",edeka
3,Iglo Fischstäbchen,"1,49 €","0,60 €",Preis pro 100 Gramm,(Becher 250 Gramm),edeka
4,Gut & Günstig Landgasthof Gulasch Pfanne,"2,99 €","6,64 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",edeka
5,"Landliebe Landkäse Original, 50 % Fett","1,99 €","3,98 €",Preis pro 1 KG,(),edeka
6,Oettinger Original Pils,"2,29 €","1,31 €",Preis pro 100 Gramm,(Packung 175 Gramm),edeka
7,Gut & Günstig Party Garnelen,"0,30 €","0,91 €",Preis pro 1 Liter,(Flasche (Glas) 0.33 L),edeka
8,EDEKA Apfel Rotkohl mit Apfelstückchen und feinen Gewürzen,"2,29 €","2,29 €",Preis pro 100 Gramm,(Packung 100 Gramm),edeka
9,Clausthaler Classic,"0,99 €","2,20 €",Preis pro 1 KG,(Packung 450 Gramm),edeka
10,Ritter Sport Schokolade Joghurt,"3,79 €","1,91 €",Preis pro 1 Liter,(Pack 1.98 L),edeka
11,Erasco Königsberger Klopse in pikant-cremiger Kapernsauce,"1,15 €","1,15 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
12,Iglo Schlemmer-Filet Classic a la Bordelaise,"3,29 €","6,85 €",Preis pro 1 KG,(Packung 480 Gramm),edeka
13,Lätta Halbfettmargarine Original,"1,77 €","4,66 €",Preis pro 1 KG,(Packung 380 Gramm),edeka
14,Frosta Schlemmer-Filet Knusper Bordelaise,"0,99 €","1,98 €",Preis pro 1 KG,(Becher 500  Gramm),edeka
15,Gut & Günstig Pfannengemüse Italienische Art,"0,99 €","2,48 €",Preis pro 1 Liter,(Dose 400 ML),edeka
16,Ferrero Milchschnitte,"1,29 €","1,72 €",Preis pro 1 KG,(Beutel 750 Gramm),edeka
17,Gut & Günstig Norwegische Lachs-Filets 2 Stück,"1,29 €","0,92 €",Preis pro 100 Gramm,"(5 x 28 g, Packung 140 Gramm)",edeka
18,Gut & Günstig Orangensaft 100% Fruchtsaftgehalt,"2,99 €","1,20 €",Preis pro 100 Gramm,(Packung 250 Gramm),edeka
19,Weideglück Sahne-Joghurt nach griechischer Art,"0,95 €","0,95 €",Preis pro 1 Liter,(Pet-Flasche 1 L),edeka
20,Meica Bratmaxe,"2,19 €","0,22 €",Preis pro 100 Gramm,(Becher 1000 Gramm),edeka
21,Oryza  Himalaya Basmati Reis lose,"3,49 €","1,12 €",Preis pro 100 Gramm,(Packung 313 Gramm),edeka
22,Edeka Grapefruit Direktsaft - mit Fruchtfleisch,"2,69 €","5,38 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
23,Coppenrath & Wiese Apfelstrudel,"1,59 €","1,59 €",Preis pro 1 Liter,(Getränkekarton 1 L),edeka
24,Gut & Günstig frischer Blätterteig backfertig,"2,29 €","3,82 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
25,Gut & Günstig Karottensaft mit Honig,"0,69 €","0,28 €",Preis pro 100 Gramm,(Packung 250 Gramm),edeka
26,Gut & Günstig Schoko Müsli mit Vollmilchschokolade,"0,89 €","1,78 €",Preis pro 1 Liter,(Flasche (Glas) 0.5 L),edeka
27,Meica Curry King,"1,69 €","2,25 €",Preis pro 1 KG,(Packung 750 Gramm),edeka
28,Gut & Günstig Orangen Nektar,"1,99 €","0,90 €",Preis pro 100 Gramm,(Packung 220 Gramm),edeka
