,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001,5,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
1,1,Nutella,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354,4,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
2,2,Becel Gold 70 % Fett,1.49,100 Gramm,Becher 250 Gramm,edeka,0.6,12,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6
3,3,Iglo Fischstäbchen,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999,14,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996
4,6,Oettinger Original Pils,0.3,100 ml,Flasche Glas 0.33 L,edeka,0.091,13,6.99,100 ml,Kasten 10 L,rewe,0.06999999999999999
5,9,Clausthaler Classic,3.79,100 ml,Pack 1.98 L,edeka,0.191,20,3.79,100 ml,Pack 1.98 L,rewe,0.191
6,12,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466,70,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003
7,13,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198,35,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
8,14,Frosta Schlemmer-Filet Knusper Bordelaise,3.29,100 Gramm,Packung 360 Gramm,edeka,0.914,379,2.99,100 Gramm,Packung 360 Gramm,rewe,0.8310000000000001
9,16,Ferrero Milchschnitte,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92,407,0.99,100 Gramm,"5 x 28 g, Packung 140 Gramm",rewe,0.71
10,19,Weideglück Sahne-Joghurt nach griechischer Art,2.19,100 Gramm,Becher 1000 Gramm,edeka,0.22,58,1.59,100 Gramm,Becher 1000 Gramm,rewe,0.16
11,20,Meica Bratmaxe,3.49,100 Gramm,Packung 313 Gramm,edeka,1.12,37,3.59,100 Gramm,Packung 313 Gramm,rewe,1.15
12,21,Oryza  Himalaya Basmati Reis lose,2.69,100 Gramm,Packung 500 Gramm,edeka,0.5379999999999999,22,2.89,100 Gramm,Packung 500 Gramm,rewe,0.5780000000000001
13,23,Coppenrath & Wiese Apfelstrudel,2.29,100 Gramm,Packung 600 Gramm,edeka,0.382,320,1.99,100 Gramm,Packung 400 Gramm & 125ml Soße,rewe,0.4980000000000001
14,27,Meica Curry King,1.99,100 Gramm,Packung 220 Gramm,edeka,0.9,36,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77
15,31,Zentis Nusspli Nuss Nougat Creme,1.59,100 Gramm,Becher 400 Gramm,edeka,0.39799999999999996,92,1.11,100 Gramm,Becher 400 Gramm,rewe,0.278
16,34,Dr. Oetker Die Ofenfrische Pizza Speciale,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54,101,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61
17,34,Dr. Oetker Die Ofenfrische Pizza Speciale,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54,2717,2.22,100 Gramm,Packung 405 Gramm,rewe,0.55
18,37,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",2.99,100 Gramm,Packung 240 Gramm,edeka,1.25,38,1.88,100 Gramm,Packung 240 Gramm,rewe,0.78
