,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Nutella,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379,1,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
1,1,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753,4,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999
2,5,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96,98,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263
3,8,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71,177,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71
4,14,Meica Curry King,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95,18,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68
5,15,Coca Cola,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095,2,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
6,25,Arla Kaergarden ungesalzen,2.19,100 Gramm,Becher 250 Gramm,kaufland,0.88,451,1.29,100 Gramm,Becher 250 Gramm,aldi-nord,0.52
7,35,Breffod Kaninchenkeulen aus Bodenhaltung,9.99,100 Gramm,Packung 1000 Gramm,kaufland,0.9990000000000001,1262,3.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.7979999999999999
8,39,Iglo Schlemmer-Filet Classic a la Bordelaise,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999,19,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001
9,40,Kölln Blütenzarte Köllnflocken,1.29,100 Gramm,Packung 500 Gramm,kaufland,0.258,300,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.198
10,42,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,kaufland,0.72,121,2.29,100 Gramm,Packung 320  Gramm,aldi-nord,0.72
11,75,Original Wagner Steinofen Pizza Speciale,2.29,100 Gramm,Packung 350 Gramm,kaufland,0.65,220,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,0.65
