,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Nutella,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379,1,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354
1,1,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753,3,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999
2,3,Lätta Halbfettmargarine Original,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358,13,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198
3,4,Kinder Schokolade,1.39,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",kaufland,1.11,30,0.77,100 Gramm,"Tafel 100 Gramm, 8 Riegel",edeka,0.77
4,5,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96,65,1.11,100 Gramm,Packung 250  Gramm,edeka,0.44
5,6,Rougette Ofenkäse fein-würzig  60% Fett,4.29,100 Gramm,Packung 320 Gramm,kaufland,1.34,989,3.89,100 Gramm,Packung 320 Gramm,edeka,1.22
6,7,"Müller Müllermilch Schoko, 1,5 % Fett",0.99,100 Gramm,Flasche Kunststoff 400 Gramm,kaufland,0.248,73,0.89,100 Gramm,Flasche Kunststoff 400 Gramm,edeka,0.223
7,8,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71,16,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92
8,9,Schöfferhofer Grapefruit,3.96,100 ml,Pack 1.98 L,kaufland,0.2,127,3.99,100 ml,Pack 1.98 L,edeka,0.20199999999999999
9,11,"Patros Feta Natur,  40% Fett",2.19,100 Gramm,Packung 180 Gramm,kaufland,1.217,377,1.49,100 Gramm,Packung 200 Gramm,edeka,0.745
10,12,Becel Gold 70 % Fett,1.39,100 Gramm,Becher 250 Gramm,kaufland,0.56,2,1.49,100 Gramm,Becher 250 Gramm,edeka,0.6
11,13,"Landliebe Landkäse Original, 50 % Fett",1.99,100 Gramm,Packung 175 Gramm,kaufland,1.14,5,2.29,100 Gramm,Packung 175 Gramm,edeka,1.31
12,14,Meica Curry King,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95,27,1.99,100 Gramm,Packung 220 Gramm,edeka,0.9
13,15,Coca Cola,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095,0,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001
14,17,Clausthaler Classic,3.78,100 ml,Pack 1.98 L,kaufland,0.191,9,3.79,100 ml,Pack 1.98 L,edeka,0.191
15,18,Oettinger Original Pils,6.4,100 ml,Kasten 10 L,kaufland,0.064,6,0.3,100 ml,Flasche Glas 0.33 L,edeka,0.091
16,20,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",kaufland,0.309,66,1.59,100 Gramm,"Packung 420 Gramm, 6 Stück",edeka,0.379
17,21,Escal  Flammkuchen Original Elsäßer,1.89,100 Gramm,Packung 260 Gramm,kaufland,0.73,3306,1.79,100 Gramm,Packung 260 Gramm,edeka,0.69
18,26,Meggle die Alpenbutter,2.19,100 Gramm,Packung 250  Gramm,kaufland,0.88,143,0.99,100 Gramm,Packung 250  Gramm,edeka,0.4
19,27,Lorenz Crunchips Paprika,1.39,100 Gramm,Beutel 175 Gramm,kaufland,0.79,462,1.49,100 Gramm,Beutel 200 Gramm,edeka,0.75
20,28,Becks Pils,16.4,100 ml,"20 x 0,5 L, Kasten 10 L",kaufland,0.16399999999999998,142,15.95,100 ml,"20 x 0,5 L, Kasten 10 L",edeka,0.16
21,29,Kinder Bueno,1.99,100 Gramm,"Packung 129 Gramm, 6 Stück",kaufland,1.54,360,1.69,100 Gramm,"Packung 129 Gramm, 6 Stück",edeka,1.31
22,31,Hanuta Haselnuss Schnitte,1.99,100 Gramm,"Packung 220 Gramm, 10er",kaufland,0.9,366,1.99,100 Gramm,Packung 249.6 Gramm,edeka,0.8
23,34,Mini Babybel rot 45% Fett,2.54,100 Gramm,"Netz 180 Gramm, 9 x 20 Gramm",kaufland,1.41,235,1.99,100 Gramm,"Netz 120 Gramm, 6 x 20 g",edeka,1.66
24,36,Frosta Schlemmer-Filet Knusper Bordelaise,2.99,100 Gramm,Packung 360 Gramm,kaufland,0.8310000000000001,14,3.29,100 Gramm,Packung 360 Gramm,edeka,0.914
25,38,Rama Margarine Classic,1.69,100 Gramm,"Familienpackung, Becher 1000 Gramm",kaufland,0.16899999999999998,70,1.59,100 Gramm,Becher 500  Gramm,edeka,0.318
26,39,Iglo Schlemmer-Filet Classic a la Bordelaise,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999,12,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466
27,40,Kölln Blütenzarte Köllnflocken,1.29,100 Gramm,Packung 500 Gramm,kaufland,0.258,911,1.99,100 Gramm,Packung 180 Gramm,edeka,1.11
28,41,Paulaner Hefeweizen Naturtrüb,17.8,100 ml,"Kasten 10 L, 20 x 0,5l",kaufland,0.17800000000000002,536,0.9,100 ml,Flasche Glas 0.5 L,edeka,0.18
29,42,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,kaufland,0.72,677,2.59,100 Gramm,Packung 320  Gramm,edeka,0.81
30,43,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",kaufland,0.39,912,1.78,100 Gramm,Dose 160 Gramm,edeka,1.11
