,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Nutella,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379,3,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997
1,1,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753,5,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753
2,3,Lätta Halbfettmargarine Original,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358,36,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18
3,4,Kinder Schokolade,1.39,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",kaufland,1.11,42,1.11,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",lidl,0.89
4,5,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96,17,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96
5,7,"Müller Müllermilch Schoko, 1,5 % Fett",0.99,100 Gramm,Flasche Kunststoff 400 Gramm,kaufland,0.248,95,0.89,100 Gramm,Flasche Kunststoff 400 Gramm,lidl,0.223
6,8,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71,292,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9
7,11,"Patros Feta Natur,  40% Fett",2.19,100 Gramm,Packung 180 Gramm,kaufland,1.217,447,1.99,100 Gramm,Packung 225 Gramm,lidl,0.884
8,13,"Landliebe Landkäse Original, 50 % Fett",1.99,100 Gramm,Packung 175 Gramm,kaufland,1.14,15,1.59,100 Gramm,Packung 175 Gramm,lidl,0.91
9,15,Coca Cola,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095,0,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
10,22,Zott Monte Butterkeks Zwei Kammer Becher,0.79,100 Gramm,Packung 125 Gramm,kaufland,0.63,20,0.59,100 Gramm,Packung 125 Gramm,lidl,0.47
11,25,Arla Kaergarden ungesalzen,2.19,100 Gramm,Becher 250 Gramm,kaufland,0.88,789,1.89,100 Gramm,Becher 250 Gramm,lidl,0.76
12,27,Lorenz Crunchips Paprika,1.39,100 Gramm,Beutel 175 Gramm,kaufland,0.79,262,1.19,100 Gramm,Beutel 200 Gramm,lidl,0.6
13,28,Becks Pils,16.4,100 ml,"20 x 0,5 L, Kasten 10 L",kaufland,0.16399999999999998,264,4.29,100 ml,"6 x 0,5 L, Pack 3 L",lidl,0.14300000000000002
14,29,Kinder Bueno,1.99,100 Gramm,"Packung 129 Gramm, 6 Stück",kaufland,1.54,268,2.79,100 Gramm,"Packung 258 Gramm, 12 x 21,5 g 	 ",lidl,1.08
15,31,Hanuta Haselnuss Schnitte,1.99,100 Gramm,"Packung 220 Gramm, 10er",kaufland,0.9,271,1.89,100 Gramm,Packung 249.6 Gramm,lidl,0.76
16,34,Mini Babybel rot 45% Fett,2.54,100 Gramm,"Netz 180 Gramm, 9 x 20 Gramm",kaufland,1.41,279,1.89,100 Gramm,"Netz 140 Gramm, 7 Stück",lidl,1.35
17,38,Rama Margarine Classic,1.69,100 Gramm,"Familienpackung, Becher 1000 Gramm",kaufland,0.16899999999999998,16,1.79,100 Gramm,Becher 500 Gramm + 50g mehr Inhalt,lidl,0.325
18,39,Iglo Schlemmer-Filet Classic a la Bordelaise,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999,38,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466
19,42,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,kaufland,0.72,720,0.88,100 Gramm,Packung 125 Gramm,lidl,0.7
20,43,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",kaufland,0.39,44,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",lidl,0.39
21,44,Erasco Hühner Nudeltopf mit frischem Gemüse,2.59,100 Gramm,Dose 800 Gramm,kaufland,0.324,938,1.89,100 Gramm,Dose 800 Gramm,lidl,0.23600000000000002
22,45,"Müller Froop Frucht auf Joghurt Pfirsich-Maracuja, 3.5 % Fett",0.59,100 Gramm,Becher 150 Gramm,kaufland,0.39,477,0.49,100 Gramm,Becher 150 Gramm,lidl,0.33
23,51,Weihenstephan Frische Tafelbutter 82% Fett,2.19,100 Gramm,Packung 250  Gramm,kaufland,0.88,464,0.99,100 Gramm,Packung 250  Gramm,lidl,0.4
24,52,Danone Actimel Classic,2.65,100 Gramm,Packung 800 Gramm,kaufland,0.331,59,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332
25,53,Zentis Nusspli Nuss Nougat Creme,1.59,100 Gramm,Becher 400 Gramm,kaufland,0.39799999999999996,111,0.99,100 Gramm,Becher 400 Gramm,lidl,0.248
26,55,Maggi Ravioli in Tomatensauce,1.15,100 Gramm,Dose 800 Gramm,kaufland,0.14400000000000002,270,1.39,100 Gramm,Dose 800 Gramm,lidl,0.174
