,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Nutella,"1,39 €","0,56 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
1,Iglo Fischstäbchen,"3,79 €","3,79 €",Preis pro 1 KG,(Vorteils Glas 1000 Gramm),kaufland
2,Luna Deutsches Suppenhuhn HKL A - ohne Innereien,"3,39 €","7,53 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",kaufland
3,Lätta Halbfettmargarine Original,"7,99 €","2,85 €",Preis pro 1 KG,(Folie 2800 Gramm),kaufland
4,Kinder Schokolade,"1,79 €","3,58 €",Preis pro 1 KG,(Becher 500  Gramm),kaufland
5,"Patros Feta Natur,  40% Fett","1,39 €","1,11 €",Preis pro 100 Gramm,"(Tafel 125 Gramm10 Stück, 8 + 2 gratis)",kaufland
6,Kerrygold Original Irische Butter mildgesäuert,"2,19 €","12,17 €",Preis pro 1 KG,(Packung 180 Gramm),kaufland
7,Arla Kaergarden ungesalzen,"2,39 €","0,96 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
8,Rougette Ofenkäse fein-würzig  60% Fett,"2,19 €","0,88 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
9,Lorenz Crunchips Paprika,"4,29 €","1,34 €",Preis pro 100 Gramm,(Packung 320 Gramm),kaufland
10,"Müller Müllermilch Schoko, 1,5 % Fett","1,39 €","0,79 €",Preis pro 100 Gramm,(Beutel 175 Gramm),kaufland
11,Ferrero Milchschnitte,"0,99 €","2,48 €",Preis pro 1 KG,(Flasche (Kunststoff) 400 Gramm),kaufland
12,Schöfferhofer Grapefruit,"1,99 €","0,71 €",Preis pro 100 Gramm,"(10 x 28 g, Packung 280 Gramm)",kaufland
13,K Classic Weißwürste Münchner Art,"3,96 €","2,00 €",Preis pro 1 Liter,(Pack 1.98 L),kaufland
14,Becel Gold 70 % Fett,"1,99 €","0,66 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
15,"Landliebe Landkäse Original, 50 % Fett","16,40 €","1,64 €",Preis pro 1 Liter,"(20 x 0,5 L, Kasten 10 L)",kaufland
16,Meica Curry King,"1,99 €","1,14 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
17,Coca Cola,"2,09 €","0,95 €",Preis pro 100 Gramm,(Packung 220 Gramm),kaufland
18,"K Classic Chicken Wings Barbecue, pikant gewürzt","11,40 €","0,95 €",Preis pro 1 Liter,"(Kasten 12 L, 12 x 1l)",kaufland
19,Clausthaler Classic,"2,99 €","2,99 €",Preis pro 1 KG,(Beutel 1 kg XXL),kaufland
20,Oettinger Original Pils,"3,78 €","1,91 €",Preis pro 1 Liter,(Pack 1.98 L),kaufland
21,Merl Zarte Heringsfilets in Sahnesauce,"6,40 €","0,64 €",Preis pro 1 Liter,(Kasten 10 L),kaufland
22,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,"1,99 €","7,96 €",Preis pro 1 KG,(Becher 250 Gramm),kaufland
23,Escal  Flammkuchen Original Elsäßer,"1,39 €","3,09 €",Preis pro 1 KG,"(Packung 450 Gramm, 9 Stück)",kaufland
24,K Classic Delikatess Lyoner,"1,89 €","0,73 €",Preis pro 100 Gramm,(Packung 260 Gramm),kaufland
25,Zott Monte Butterkeks Zwei Kammer Becher,"0,99 €","0,50 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
26,Tillmans Hamburger vom Rind,"0,79 €","0,63 €",Preis pro 100 Gramm,(Packung 125 Gramm),kaufland
27,Escal  Apfel Flammkuchen,"4,99 €","0,00 €",Preis pro 1 KG,(Beutel 12 Stück),kaufland
28,Meggle die Alpenbutter,"1,89 €","0,63 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
29,Becks Pils,"2,19 €","0,88 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
30,Kinder Bueno,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
31,K Classic Sonnenblumenöl,"1,99 €","1,54 €",Preis pro 100 Gramm,"(Packung 129 Gramm, 6 Stück)",kaufland
32,Kinder Pingui Schoko,"0,99 €","0,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1000 ML),kaufland
33,Hanuta Haselnuss Schnitte,"1,99 €","0,83 €",Preis pro 100 Gramm,"(Family Pack 240 Gramm, 8 x 30 g)",kaufland
34,K Classic Pizza American Style Supreme,"1,99 €","0,90 €",Preis pro 100 Gramm,"(Packung 220 Gramm, 10er)",kaufland
35,K Classic Weizenmehl Type 405,"1,99 €","4,52 €",Preis pro 1 KG,(Packung 440 Gramm),kaufland
36,Weihenstephan Frischer Alpenschlagrahm extra schlagfähig,"0,69 €","0,35 €",Preis pro 1 KG,(Packung 2kg),kaufland
37,Mini Babybel rot 45% Fett,"2,49 €","0,50 €",Preis pro 100 Gramm,(Getränkekarton 500 Gramm),kaufland
