,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Nutella,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379,4,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
1,1,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753,14,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996
2,3,Lätta Halbfettmargarine Original,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358,35,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
3,5,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96,162,2.49,100 Gramm,Packung 250  Gramm,rewe,1.0
4,6,Rougette Ofenkäse fein-würzig  60% Fett,4.29,100 Gramm,Packung 320 Gramm,kaufland,1.34,724,3.95,100 Gramm,Packung 320 Gramm,rewe,1.23
5,7,"Müller Müllermilch Schoko, 1,5 % Fett",0.99,100 Gramm,Flasche Kunststoff 400 Gramm,kaufland,0.248,178,0.66,100 Gramm,Flasche Kunststoff 400 Gramm,rewe,0.16499999999999998
6,8,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71,407,0.99,100 Gramm,"5 x 28 g, Packung 140 Gramm",rewe,0.71
7,9,Schöfferhofer Grapefruit,3.96,100 ml,Pack 1.98 L,kaufland,0.2,129,3.49,100 ml,Pack 1.98 L,rewe,0.17600000000000002
8,11,"Patros Feta Natur,  40% Fett",2.19,100 Gramm,Packung 180 Gramm,kaufland,1.217,479,1.99,100 Gramm,Packung 200 Gramm,rewe,0.995
9,12,Becel Gold 70 % Fett,1.39,100 Gramm,Becher 250 Gramm,kaufland,0.56,12,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6
10,14,Meica Curry King,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95,36,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77
11,15,Coca Cola,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095,5,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
12,17,Clausthaler Classic,3.78,100 ml,Pack 1.98 L,kaufland,0.191,20,3.79,100 ml,Pack 1.98 L,rewe,0.191
13,18,Oettinger Original Pils,6.4,100 ml,Kasten 10 L,kaufland,0.064,13,6.99,100 ml,Kasten 10 L,rewe,0.06999999999999999
14,19,Merl Zarte Heringsfilets in Sahnesauce,1.99,100 Gramm,Becher 250 Gramm,kaufland,0.7959999999999999,15,3.39,100 Gramm,Becher 500 Gramm,rewe,0.6779999999999999
