,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079,2,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
1,3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997,1,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
2,5,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753,4,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.7759999999999999
3,17,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96,98,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,0.263
4,38,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,19,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,0.8390000000000001
5,53,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79,79,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,0.79
6,75,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532,219,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532
7,76,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,lidl,0.4360000000000001,446,1.09,100 ml,Dose 250 ML,aldi-nord,0.4360000000000001
8,155,Dr. Quendt Echter Dresdner Christstollen,7.49,100 Gramm,Packung 1000 Gramm,lidl,0.7490000000000001,264,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.6990000000000001
9,161,Ehrmann Grand Dessert Plus Double-Choc,0.79,100 Gramm,Becher 190 Gramm,lidl,0.42,229,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,0.42
10,265,Deli Reform Margarine Das Original,0.85,100 Gramm,Becher 555 Gramm,lidl,0.153,176,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,1.41
11,274,Raffaello Pralinen Kokos-Mandel,1.99,100 Gramm,Packung 180 Gramm,lidl,1.11,145,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,1.3
12,275,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75,413,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-nord,1.75
13,278,Ferrero Kinder Riegel,2.39,100 Gramm,"10 x 21 g, Packung 210 Gramm",lidl,1.14,146,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,0.95
14,287,Maggi Würze Tischflasche,1.59,100 Gramm,Flasche Glas 250 Gramm,lidl,0.64,78,1.69,100 Gramm,Flasche Glas 250 Gramm,aldi-nord,0.68
15,292,Ferrero Milchschnitte,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9,177,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,0.71
16,301,Krustenbrot,1.15,100 Gramm, 1000 Gramm,lidl,0.115,1241,1.15,100 Gramm, 1000 Gramm,aldi-nord,0.115
