,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079,1,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
1,3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997,4,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
2,8,Milka Alpenmilch Schokolade,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09,255,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95
3,38,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,7,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
4,53,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79,652,1.19,100 Gramm,Beutel 175 Gramm,aldi-sued,0.68
5,75,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532,218,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532
6,76,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,lidl,0.4360000000000001,1311,1.69,100 Gramm,Packung 420 Gramm,aldi-sued,0.4
7,97,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071,158,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071
8,124,Mumm Extra Dry Sekt trocken,5.99,100 ml,Flasche Glas 0.75 L,lidl,0.799,1638,2.19,100 Gramm,Packung 600 Gramm,aldi-sued,0.365
9,152,Bertolli Extra Vergine Originale das Fruchtige,4.69,100 ml,Flasche Glas 500 ML,lidl,0.938,151,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138
10,155,Dr. Quendt Echter Dresdner Christstollen,7.49,100 Gramm,Packung 1000 Gramm,lidl,0.7490000000000001,1024,6.99,100 Gramm,Packung 1000 Gramm,aldi-sued,0.6990000000000001
11,184,Chantre Weinbrand 36% Vol.,6.99,100 ml,Flasche Glas 0.7 L,lidl,0.9990000000000001,1640,6.99,100 ml,Flasche Glas 0.7 L,aldi-sued,0.9990000000000001
12,199,"Aperol italienischer Aperitiv Bitter Spirituose, 15 % Vol.",9.99,100 ml,Flasche Glas 0.7 L,lidl,1.4269999999999998,2036,8.79,100 ml,Flasche Glas 0.7 L,aldi-sued,1.256
13,269,Coca Cola Light,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071,480,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071
14,272,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",8.88,100 ml,Flasche Glas 0.7 L,lidl,1.2690000000000001,35,12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856
15,274,Raffaello Pralinen Kokos-Mandel,1.99,100 Gramm,Packung 180 Gramm,lidl,1.11,129,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15
16,275,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75,257,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75
17,292,Ferrero Milchschnitte,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9,646,1.79,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-sued,0.64
18,296,Paprika rot,2.77,100 Gramm,Packung 396 Gramm,lidl,0.7,1207,1.79,100 Gramm,Beutel 500 Gramm,aldi-sued,0.358
19,368,Kaki frisch,1.49,Preis pro Stück, 1 Stück,lidl,1.49,1529,0.39,Preis pro Stück, 1 Stück,aldi-sued,0.39
20,369,Maronen frisch,0.99,100 Gramm,100 Gramm lose,lidl,0.99,1627,1.89,100 Gramm,"Packung 820 Gramm, 20 x 41 g ",aldi-sued,0.23
21,464,Weihenstephan Frische Tafelbutter 82% Fett,0.99,100 Gramm,Packung 250  Gramm,lidl,0.4,279,1.49,100 Gramm,Packung 250  Gramm,aldi-sued,0.6
22,494,Capri Sonne Orange 10-er Pack 10 x 0.2 L,1.99,100 ml,Pack 2 L,lidl,0.1,650,1.69,100 ml,Pack 2 L,aldi-sued,0.08499999999999999
23,682,Haribo Goldbären,0.89,100 Gramm,Beutel 300 Gramm,lidl,0.3,648,0.89,100 Gramm,Beutel 300 Gramm,aldi-sued,0.3
24,685,Pfanner Der Grüne Tee Zitrone-Kaktusfeige,0.99,100 ml,Getränkekarton 2 L,lidl,0.05,649,0.99,100 ml,Getränkekarton 2 L,aldi-sued,0.05
25,860,Baileys Original Irish Cream,9.99,100 ml,Flasche Glas 700 ML,lidl,1.4269999999999998,733,6.99,100 ml,"Flasche Sondergröße 0,5 Liter",aldi-sued,1.398
26,896,Snickers Schokoriegel mit Erdnüsse und Karamel,1.49,100 Gramm,"Packung 250 Gramm, 5 x 50g",lidl,0.6,1179,2.29,100 Gramm,"Packung 309 Gramm, 9er",aldi-sued,0.74
27,916,Landliebe Grieß Pudding Traditionell,1.99,100 Gramm,Packung 500 Gramm,lidl,0.4,463,0.99,100 Gramm,Becher 330 Gramm,aldi-sued,0.3
28,946,"Südzucker Fein Zucker feinkörnig, rasch löslich",0.85,100 Gramm,Packung 1000 Gramm,lidl,0.08499999999999999,1173,0.85,100 Gramm,Packung 1000 Gramm,aldi-sued,0.08499999999999999
29,951,Ferrero Küsschen,2.25,100 Gramm,"Packung 178 Gramm, 20 Stück",lidl,1.26,280,2.99,100 Gramm,"Packung 178 Gramm, 20 Stück",aldi-sued,1.68
30,978,Krombacher Pils,0.79,100 ml,"Dose 0,5L",lidl,0.158,1181,0.79,100 ml,"Dose 0,5L",aldi-sued,0.158
31,1222,Bürger Eierspätzle Original schwäbisch,1.89,100 Gramm,Packung 1000 Gramm,lidl,0.18899999999999997,120,3.29,100 Gramm,Packung 1000 Gramm,aldi-sued,0.32899999999999996
