,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079,15,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
1,3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997,0,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
2,5,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753,1,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753
3,8,Milka Alpenmilch Schokolade,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09,107,1.09,100 Gramm,Tafel 100  Gramm,kaufland,1.09
4,15,"Landliebe Landkäse Original, 50 % Fett",1.59,100 Gramm,Packung 175 Gramm,lidl,0.91,13,1.99,100 Gramm,Packung 175 Gramm,kaufland,1.14
5,16,Rama Margarine Classic,1.79,100 Gramm,Becher 500 Gramm + 50g mehr Inhalt,lidl,0.325,38,1.69,100 Gramm,"Familienpackung, Becher 1000 Gramm",kaufland,0.16899999999999998
6,17,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96,5,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96
7,20,Zott Monte Butterkeks Zwei Kammer Becher,0.59,100 Gramm,Packung 125 Gramm,lidl,0.47,22,0.79,100 Gramm,Packung 125 Gramm,kaufland,0.63
8,36,Lätta Halbfettmargarine Original,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18,3,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358
9,38,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,39,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999
10,41,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61,3012,2.69,100 Gramm,Packung 405 Gramm,kaufland,0.66
11,1491,Dr. Oetker Die Ofenfrische Pizza Speciale,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74,3012,2.69,100 Gramm,Packung 405 Gramm,kaufland,0.66
12,42,Kinder Schokolade,1.11,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",lidl,0.89,4,1.39,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",kaufland,1.11
13,44,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",lidl,0.39,43,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",kaufland,0.39
14,48,Thomy Sonnenblumenöl,1.99,100 ml,Flasche Glas 750 ML,lidl,0.265,537,1.99,100 ml,Flasche Glas 750 ML,kaufland,0.265
15,53,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79,290,1.99,100 Gramm,Beutel 175 Gramm,kaufland,1.14
16,59,Danone Actimel Classic,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332,52,2.65,100 Gramm,Packung 800 Gramm,kaufland,0.331
17,69,Nestle Choco Crossies Classic,1.99,100 Gramm,"Packung 150 Gramm, 2 x 75 Gramm",lidl,1.33,291,0.99,100 Gramm,"Packung 160 Gramm, 2 x 80g",kaufland,0.62
18,70,Philadelphia Doppelrahmstufe Original,1.49,100 Gramm,Packung 175 Gramm,lidl,0.85,77,1.49,100 Gramm,Packung 175 Gramm,kaufland,0.85
19,72,Pepsi Cola Classic koffeinhaltig,0.99,100 ml,Pet-Flasche 1.5 L,lidl,0.066,83,0.99,100 ml,Pet-Flasche 1.5 L,kaufland,0.066
20,73,"Milkana Schmelzkäse Kräuter, 50% Fett",1.99,100 Gramm,Packung 200 Gramm,lidl,1.0,939,1.99,100 Gramm,Packung 200 Gramm,kaufland,1.0
21,75,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532,89,3.99,100 ml,Flasche Glas 0.75 L,kaufland,0.532
22,76,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,lidl,0.4360000000000001,967,20.0,100 ml,"Karton 6 L, 24 x 0,250 L",kaufland,0.33299999999999996
23,93,Punica Classics Nektar Multivitamin 17+4,1.59,100 ml,Pet-Flasche 1500 ML,lidl,0.106,108,1.59,100 ml,Pet-Flasche 1500 ML,kaufland,0.106
24,94,Hela Curry Gewürz Ketchup delikat,2.29,100 ml,Flasche Kunststoff 800 ML,lidl,0.28600000000000003,110,2.39,100 ml,Flasche Kunststoff 800 ML,kaufland,0.29900000000000004
25,94,Hela Curry Gewürz Ketchup delikat,2.29,100 ml,Flasche Kunststoff 800 ML,lidl,0.28600000000000003,5062,1.49,100 Gramm,Tube 200 Gramm,kaufland,0.75
26,95,"Müller Müllermilch Schoko, 1,5 % Fett",0.89,100 Gramm,Flasche Kunststoff 400 Gramm,lidl,0.223,7,0.99,100 Gramm,Flasche Kunststoff 400 Gramm,kaufland,0.248
27,96,Miracoli Spaghetti Klassiker mit Tomatensauce,1.99,100 Gramm,Packung 634 Gramm,lidl,0.314,111,1.79,100 Gramm,"Packung 397 Gramm, 2 - 3 Portionen",kaufland,0.45
28,97,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071,113,0.49,100 ml,Dose 330 ML,kaufland,0.14800000000000002
