,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Coca Cola,"1,39 €","0,70 €",Preis pro 100 Gramm,(Packung 200 Gramm),lidl
1,"Dulano Delikatess Wiener Würstchen knackig und zart,  2 x 200 g","0,99 €","0,79 €",Preis pro 1 Liter,(Pet-Flasche 1.25 L),lidl
2,Gebirgsjäger Delikatess Frikadellen 5 Stück,"2,79 €","6,98 €",Preis pro 1 KG,(Packung 400 Gramm),lidl
3,Nutella,"1,99 €","3,98 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
4,Master Crumble Schoko-Knusper,"3,99 €","3,99 €",Preis pro 1 KG,(Vorteils Glas 1000 Gramm),lidl
5,Iglo Fischstäbchen,"1,79 €","2,39 €",Preis pro 1 KG,(Packung 750 Gramm),lidl
6,Winarom Delikatess Senf scharf,"3,39 €","7,53 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",lidl
7,Oldenhäuser Frühstücksfleisch,"0,29 €","0,12 €",Preis pro 100 ml,(Glas 250 ML),lidl
8,Milka Alpenmilch Schokolade,"1,49 €","0,44 €",Preis pro 100 Gramm,(Dose 340 Gramm),lidl
9,Golden Sun Spitzen Langkornreis im Kochbeutel,"1,09 €","1,09 €",Preis pro 100 Gramm,(Tafel 100  Gramm),lidl
10,"Perlenbacher / Lidl Pilsener 6 x 0,33 L","1,15 €","1,15 €",Preis pro 1 KG,"(Packung 1000 Gramm, 8 x 125 Gramm)",lidl
11,Osem Flachkräcker aus Vollkorn,"2,69 €","0,67 €",Preis pro 1 Liter,"(XXL 8er Packung, 8 x 0,5l)",lidl
12,Grafschafter Knäckebrot Roggen Vollkorn,"0,59 €","0,30 €",Preis pro 100 Gramm,(Packung 200 Gramm),lidl
13,"Coquette Hühner Nudeltopf mit Huhn, Nudeln und Gemüse","0,49 €","0,20 €",Preis pro 100 Gramm,(Packung 250 Gramm),lidl
14,Dulano Kochhinterschinken,"0,89 €","1,11 €",Preis pro 1 KG,(Dose 800 Gramm),lidl
15,"Landliebe Landkäse Original, 50 % Fett","0,59 €","1,18 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
16,Rama Margarine Classic,"1,59 €","0,91 €",Preis pro 100 Gramm,(Packung 175 Gramm),lidl
17,Kerrygold Original Irische Butter mildgesäuert,"1,79 €","3,25 €",Preis pro 1 KG,(Becher 500 Gramm + 50g mehr Inhalt),lidl
18,"Dulano Bayerischer Leberkäse Fein, 2 x 200 g","2,39 €","0,96 €",Preis pro 100 Gramm,(Packung 250  Gramm),lidl
19,Salumeo Salami Spianata Romana,"2,29 €","5,73 €",Preis pro 1 KG,(Packung 400 Gramm),lidl
20,Zott Monte Butterkeks Zwei Kammer Becher,"1,69 €","1,69 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
21,"Trattoria Alfredo Steinofen Pizza 3-er Margherita, 3 x 300 g","0,59 €","0,47 €",Preis pro 100 Gramm,(Packung 125 Gramm),lidl
