,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079,5,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
1,3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997,4,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
2,5,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753,14,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996
3,8,Milka Alpenmilch Schokolade,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09,159,1.69,100 Gramm,Tafel 300 Gramm,rewe,0.56
4,16,Rama Margarine Classic,1.79,100 Gramm,Becher 500 Gramm + 50g mehr Inhalt,lidl,0.325,163,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
5,17,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96,162,2.49,100 Gramm,Packung 250  Gramm,rewe,1.0
6,36,Lätta Halbfettmargarine Original,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18,35,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
7,38,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,70,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003
8,41,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61,101,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61
9,41,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61,2717,2.22,100 Gramm,Packung 405 Gramm,rewe,0.55
10,1491,Dr. Oetker Die Ofenfrische Pizza Speciale,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74,101,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61
11,1491,Dr. Oetker Die Ofenfrische Pizza Speciale,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74,2717,2.22,100 Gramm,Packung 405 Gramm,rewe,0.55
12,44,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",lidl,0.39,349,1.47,100 Gramm,"Packung 460 Gramm, 4 x 115g",rewe,0.32
13,48,Thomy Sonnenblumenöl,1.99,100 ml,Flasche Glas 750 ML,lidl,0.265,143,0.99,100 ml,Flasche Glas 500 ML,rewe,0.2
14,53,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79,324,1.39,100 Gramm,Beutel 175 Gramm,rewe,0.79
15,57,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",1.66,100 Gramm,Packung 240 Gramm,lidl,0.69,38,1.88,100 Gramm,Packung 240 Gramm,rewe,0.78
16,59,Danone Actimel Classic,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332,68,1.99,100 Gramm,Packung 800 Gramm,rewe,0.24900000000000005
17,69,Nestle Choco Crossies Classic,1.99,100 Gramm,"Packung 150 Gramm, 2 x 75 Gramm",lidl,1.33,1152,1.99,100 Gramm,Packung 180 Gramm,rewe,1.11
