,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,4,Nutella,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505,4,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
1,5,Coca Cola,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066,1,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
2,70,Iglo Schlemmer-Filet Classic a la Bordelaise,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003,7,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
3,109,Coca Cola Zero,1.65,100 ml,Pet-Flasche 2 L,rewe,0.08299999999999999,158,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071
4,127,Dr. Oetker Rote Grütze herrlich fruchtig,2.29,100 Gramm,Becher 500 Gramm,rewe,0.45799999999999996,27,1.99,100 Gramm,Becher 500 Gramm,aldi-sued,0.39799999999999996
5,159,Milka Alpenmilch Schokolade,1.69,100 Gramm,Tafel 300 Gramm,rewe,0.56,255,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95
6,182,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,0.79,100 ml,Getränkekarton 1 L,rewe,0.079,42,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309
7,223,Bertolli Extra Vergine Originale das Fruchtige,4.49,100 ml,Flasche Glas 500 ML,rewe,0.898,151,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138
8,235,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.59,100 ml,Flasche Glas 0.7 L,rewe,1.7990000000000002,35,12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856
9,238,Coca Cola Light,1.65,100 ml,Pet-Flasche 2 L,rewe,0.08299999999999999,480,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071
10,267,Lavazza Caffe Crema Classico,9.99,100 Gramm,Beutel 1000 Gramm,rewe,0.9990000000000001,580,12.99,100 Gramm,Beutel 1000 Gramm,aldi-sued,1.2990000000000002
11,281,Jack Daniels Whisky Old Time No. 7 40 % Vol.,15.99,100 ml,Flasche Glas 0.7 L,rewe,2.2840000000000003,425,17.99,100 ml,Flasche Glas 0.7 L,aldi-sued,2.57
12,283,Tillmans Toasty Geflügelsnack,2.79,100 Gramm,Packung 280 Gramm,rewe,1.0,647,2.99,100 Gramm,"Packung 350 Gramm, 5 Stück x 70 g",aldi-sued,0.85
13,314,"Weihenstephan Frischer Kakao 3,5 % Fett, aus guter Alpenmilch",0.95,100 ml,"Getränkekarton 0,5l",rewe,0.19,745,1.11,100 ml,Getränkekarton 1 L,aldi-sued,0.11100000000000003
14,322,Haribo Goldbären,1.75,100 Gramm,Mini-Maxi Beutel 250 Gramm,rewe,0.7,648,0.89,100 Gramm,Beutel 300 Gramm,aldi-sued,0.3
