,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,4,Nutella,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505,1,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354
1,5,Coca Cola,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066,0,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001
2,12,Becel Gold 70 % Fett,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6,2,1.49,100 Gramm,Becher 250 Gramm,edeka,0.6
3,13,Oettinger Original Pils,6.99,100 ml,Kasten 10 L,rewe,0.06999999999999999,6,0.3,100 ml,Flasche Glas 0.33 L,edeka,0.091
4,14,Iglo Fischstäbchen,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996,3,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999
5,20,Clausthaler Classic,3.79,100 ml,Pack 1.98 L,rewe,0.191,9,3.79,100 ml,Pack 1.98 L,edeka,0.191
6,22,Oryza  Himalaya Basmati Reis lose,2.89,100 Gramm,Packung 500 Gramm,rewe,0.5780000000000001,21,2.69,100 Gramm,Packung 500 Gramm,edeka,0.5379999999999999
7,35,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198,13,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198
8,36,Meica Curry King,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77,27,1.99,100 Gramm,Packung 220 Gramm,edeka,0.9
9,37,Meica Bratmaxe,3.59,100 Gramm,Packung 313 Gramm,rewe,1.15,20,3.49,100 Gramm,Packung 313 Gramm,edeka,1.12
10,38,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",1.88,100 Gramm,Packung 240 Gramm,rewe,0.78,37,2.99,100 Gramm,Packung 240 Gramm,edeka,1.25
11,58,Weideglück Sahne-Joghurt nach griechischer Art,1.59,100 Gramm,Becher 1000 Gramm,rewe,0.16,19,2.19,100 Gramm,Becher 1000 Gramm,edeka,0.22
12,64,Sylter Salatfrische Dressing,1.29,100 ml,Flasche Glas 250 ML,rewe,0.52,59,1.49,100 ml,Flasche Glas 250 ML,edeka,0.6
13,68,Danone Actimel Classic,1.99,100 Gramm,Packung 800 Gramm,rewe,0.24900000000000005,58,1.69,100 Gramm,"Packung 400 Gramm, 4 x 100 g",edeka,0.423
14,70,Iglo Schlemmer-Filet Classic a la Bordelaise,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003,12,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466
15,92,Zentis Nusspli Nuss Nougat Creme,1.11,100 Gramm,Becher 400 Gramm,rewe,0.278,31,1.59,100 Gramm,Becher 400 Gramm,edeka,0.39799999999999996
16,101,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61,34,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54
17,2717,Dr. Oetker Die Ofenfrische Pizza Speciale,2.22,100 Gramm,Packung 405 Gramm,rewe,0.55,34,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54
