,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,4,Nutella,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505,0,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
1,5,Coca Cola,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066,15,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
2,12,Becel Gold 70 % Fett,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6,12,1.39,100 Gramm,Becher 250 Gramm,kaufland,0.56
3,13,Oettinger Original Pils,6.99,100 ml,Kasten 10 L,rewe,0.06999999999999999,18,6.4,100 ml,Kasten 10 L,kaufland,0.064
4,14,Iglo Fischstäbchen,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996,1,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753
5,15,Merl Zarte Heringsfilets in Sahnesauce,3.39,100 Gramm,Becher 500 Gramm,rewe,0.6779999999999999,19,1.99,100 Gramm,Becher 250 Gramm,kaufland,0.7959999999999999
6,20,Clausthaler Classic,3.79,100 ml,Pack 1.98 L,rewe,0.191,17,3.78,100 ml,Pack 1.98 L,kaufland,0.191
7,22,Oryza  Himalaya Basmati Reis lose,2.89,100 Gramm,Packung 500 Gramm,rewe,0.5780000000000001,60,2.69,100 Gramm,Packung 500 Gramm,kaufland,0.5379999999999999
8,35,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198,3,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358
9,36,Meica Curry King,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77,14,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95
10,37,Meica Bratmaxe,3.59,100 Gramm,Packung 313 Gramm,rewe,1.15,68,3.49,100 Gramm,Packung 313 Gramm,kaufland,1.12
11,58,Weideglück Sahne-Joghurt nach griechischer Art,1.59,100 Gramm,Becher 1000 Gramm,rewe,0.16,50,1.99,100 Gramm,Becher 1000 Gramm,kaufland,0.2
12,64,Sylter Salatfrische Dressing,1.29,100 ml,Flasche Glas 250 ML,rewe,0.52,56,1.69,100 ml,Flasche Glas 250 ML,kaufland,0.68
13,68,Danone Actimel Classic,1.99,100 Gramm,Packung 800 Gramm,rewe,0.24900000000000005,52,2.65,100 Gramm,Packung 800 Gramm,kaufland,0.331
14,69,Vinzenzmurr Saure Lunge,3.29,100 ml,Dose 800 ML,rewe,0.411,178,2.99,100 ml,Dose 800 ML,kaufland,0.374
15,70,Iglo Schlemmer-Filet Classic a la Bordelaise,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003,39,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.7609999999999999
16,92,Zentis Nusspli Nuss Nougat Creme,1.11,100 Gramm,Becher 400 Gramm,rewe,0.278,53,1.59,100 Gramm,Becher 400 Gramm,kaufland,0.39799999999999996
17,101,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61,3012,2.69,100 Gramm,Packung 405 Gramm,kaufland,0.66
