,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,4,Nutella,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505,3,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997
1,5,Coca Cola,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066,0,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
2,14,Iglo Fischstäbchen,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.39299999999999996,5,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753
3,35,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198,36,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18
4,38,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",1.88,100 Gramm,Packung 240 Gramm,rewe,0.78,57,1.66,100 Gramm,Packung 240 Gramm,lidl,0.69
5,68,Danone Actimel Classic,1.99,100 Gramm,Packung 800 Gramm,rewe,0.24900000000000005,59,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332
6,70,Iglo Schlemmer-Filet Classic a la Bordelaise,1.79,100 Gramm,Packung 380 Gramm,rewe,0.47100000000000003,38,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466
7,92,Zentis Nusspli Nuss Nougat Creme,1.11,100 Gramm,Becher 400 Gramm,rewe,0.278,111,0.99,100 Gramm,Becher 400 Gramm,lidl,0.248
8,101,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61,41,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61
9,101,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61,1491,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74
