,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Ja! Briespitze 60% Fett,"1,19 €","0,60 €",Preis pro 100 Gramm,(Packung 200 Gramm),rewe
1,REWE Beste Wahl Brie 45% Fett,"0,69 €","0,69 €",Preis pro 100 Gramm,(Packung 100 Gramm),rewe
2,REWE Beste Wahl Ziegenfrischkäse Mousse 73%,"1,99 €","1,59 €",Preis pro 100 Gramm,(Becher 125 Gramm),rewe
3,Rewe Brie 45% Fett,"0,79 €","0,79 €",Preis pro 100 Gramm,(Packung 100 Gramm),rewe
4,Nutella,"3,79 €","5,05 €",Preis pro 1 KG,(Glas 750 Gramm),rewe
5,Coca Cola,"0,99 €","0,66 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),rewe
6,ja! Balkan-Käse 45% Fett,"1,09 €","4,36 €",Preis pro 1 KG,(Packung 250 Gramm),rewe
7,"Ja! Pizza Margherita, 3 x 300 g","1,99 €","0,22 €",Preis pro 100 Gramm,(Packung 900 Gramm),rewe
8,"Ja! Schokotrunk 3,5% Fett","0,49 €","0,98 €",Preis pro 1 Liter,(Getränkekarton  0.5 L),rewe
9,ja! Delikatess Leberwurst fein,"0,99 €","0,57 €",Preis pro 100 Gramm,(Dose 175 Gramm),rewe
10,ja! Orangensaft aus Orangensaftkonzentrt,"0,95 €","0,95 €",Preis pro 1 Liter,(Flasche 1 Liter),rewe
11,Küstenland Die Frische Sahnige,"1,49 €","0,60 €",Preis pro 100 Gramm,(Becher 250 Gramm),rewe
12,Becel Gold 70 % Fett,"1,49 €","0,60 €",Preis pro 100 Gramm,(Becher 250 Gramm),rewe
13,Oettinger Original Pils,"6,99 €","0,70 €",Preis pro 1 Liter,(Kasten 10 L),rewe
14,Iglo Fischstäbchen,"1,77 €","3,93 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",rewe
15,Merl Zarte Heringsfilets in Sahnesauce,"3,39 €","6,78 €",Preis pro 1 KG,(Becher 500 Gramm),rewe
16,Ja! Nuss-Nougat-Creme,"1,29 €","3,23 €",Preis pro 1 KG,(Glas 400 Gramm),rewe
17,Ja! Sonnenblumen Margarine,"0,79 €","1,58 €",Preis pro 1 KG,(Becher 500 Gramm),rewe
18,"Ja! Käseaufschnitt Edamer, Tilsiter und Emmentaler","1,39 €","0,56 €",Preis pro 100 Gramm,(Packung 250 Gramm),rewe
19,Ja!  Geflügelfleischwurst,"1,49 €","3,73 €",Preis pro 1 KG,(Vakuum 400 Gramm),rewe
20,Clausthaler Classic,"3,79 €","1,91 €",Preis pro 1 Liter,(Pack 1.98 L),rewe
21,ja! Tomatencreme Suppe,"0,79 €","1,98 €",Preis pro 1 Liter,(Dose 400 ML),rewe
