,Name,Price,Price per,Unit,Packet Size,Supermarket
0,Nutella,"3,79 €","3,79 €",Preis pro 1 KG,(Vorteils Glas 1000 Gramm),kaufland
1,Iglo Fischstäbchen,"3,39 €","7,53 €",Preis pro 1 KG,"(15er, Packung 450 Gramm)",kaufland
2,Luna Deutsches Suppenhuhn HKL A - ohne Innereien,"7,99 €","2,85 €",Preis pro 1 KG,(Folie 2800 Gramm),kaufland
3,Lätta Halbfettmargarine Original,"1,79 €","3,58 €",Preis pro 1 KG,(Becher 500  Gramm),kaufland
4,Kinder Schokolade,"1,39 €","1,11 €",Preis pro 100 Gramm,"(Tafel 125 Gramm10 Stück, 8 + 2 gratis)",kaufland
5,Kerrygold Original Irische Butter mildgesäuert,"2,39 €","0,96 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
6,Rougette Ofenkäse fein-würzig  60% Fett,"4,29 €","1,34 €",Preis pro 100 Gramm,(Packung 320 Gramm),kaufland
7,"Müller Müllermilch Schoko, 1,5 % Fett","0,99 €","2,48 €",Preis pro 1 KG,(Flasche (Kunststoff) 400 Gramm),kaufland
8,Ferrero Milchschnitte,"1,99 €","0,71 €",Preis pro 100 Gramm,"(10 x 28 g, Packung 280 Gramm)",kaufland
9,Schöfferhofer Grapefruit,"3,96 €","2,00 €",Preis pro 1 Liter,(Pack 1.98 L),kaufland
10,K Classic Weißwürste Münchner Art,"1,99 €","0,66 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
11,"Patros Feta Natur,  40% Fett","2,19 €","12,17 €",Preis pro 1 KG,(Packung 180 Gramm),kaufland
12,Becel Gold 70 % Fett,"1,39 €","0,56 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
13,"Landliebe Landkäse Original, 50 % Fett","1,99 €","1,14 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
14,Meica Curry King,"2,09 €","0,95 €",Preis pro 100 Gramm,(Packung 220 Gramm),kaufland
15,Coca Cola,"11,40 €","0,95 €",Preis pro 1 Liter,"(Kasten 12 L, 12 x 1l)",kaufland
16,"K Classic Chicken Wings Barbecue, pikant gewürzt","2,99 €","2,99 €",Preis pro 1 KG,(Beutel 1 kg XXL),kaufland
17,Clausthaler Classic,"3,78 €","1,91 €",Preis pro 1 Liter,(Pack 1.98 L),kaufland
18,Oettinger Original Pils,"6,40 €","0,64 €",Preis pro 1 Liter,(Kasten 10 L),kaufland
19,Merl Zarte Heringsfilets in Sahnesauce,"1,99 €","7,96 €",Preis pro 1 KG,(Becher 250 Gramm),kaufland
20,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,"1,39 €","3,09 €",Preis pro 1 KG,"(Packung 450 Gramm, 9 Stück)",kaufland
21,Escal  Flammkuchen Original Elsäßer,"1,89 €","0,73 €",Preis pro 100 Gramm,(Packung 260 Gramm),kaufland
22,Zott Monte Butterkeks Zwei Kammer Becher,"0,79 €","0,63 €",Preis pro 100 Gramm,(Packung 125 Gramm),kaufland
23,Tillmans Hamburger vom Rind,"4,99 €","0,00 €",Preis pro 1 KG,(Beutel 12 Stück),kaufland
24,Escal  Apfel Flammkuchen,"1,89 €","0,63 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
25,Arla Kaergarden ungesalzen,"2,19 €","0,88 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
26,Meggle die Alpenbutter,"2,19 €","0,88 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
27,Lorenz Crunchips Paprika,"1,39 €","0,79 €",Preis pro 100 Gramm,(Beutel 175 Gramm),kaufland
28,Becks Pils,"16,40 €","1,64 €",Preis pro 1 Liter,"(20 x 0,5 L, Kasten 10 L)",kaufland
29,Kinder Bueno,"1,99 €","1,54 €",Preis pro 100 Gramm,"(Packung 129 Gramm, 6 Stück)",kaufland
30,K Classic Sonnenblumenöl,"0,99 €","0,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1000 ML),kaufland
31,Hanuta Haselnuss Schnitte,"1,99 €","0,90 €",Preis pro 100 Gramm,"(Packung 220 Gramm, 10er)",kaufland
32,K Classic Pizza American Style Supreme,"1,99 €","4,52 €",Preis pro 1 KG,(Packung 440 Gramm),kaufland
33,K Classic Weizenmehl Type 405,"0,69 €","0,35 €",Preis pro 1 KG,(Packung 2kg),kaufland
34,Mini Babybel rot 45% Fett,"2,54 €","1,41 €",Preis pro 100 Gramm,"(Netz 180 Gramm, 9 x 20 Gramm)",kaufland
35,Breffod Kaninchenkeulen aus Bodenhaltung,"9,99 €","9,99 €",Preis pro 1 KG,(Packung 1000 Gramm),kaufland
36,Frosta Schlemmer-Filet Knusper Bordelaise,"2,99 €","8,31 €",Preis pro 1 KG,(Packung 360 Gramm),kaufland
37,K Classic Jodsalz mit Fluorid,"0,19 €","0,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
38,Rama Margarine Classic,"1,69 €","1,69 €",Preis pro 1 KG,"(Familienpackung, Becher 1000 Gramm)",kaufland
39,Iglo Schlemmer-Filet Classic a la Bordelaise,"2,89 €","7,61 €",Preis pro 1 KG,(Packung 380 Gramm),kaufland
40,Kölln Blütenzarte Köllnflocken,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
41,Paulaner Hefeweizen Naturtrüb,"17,80 €","1,78 €",Preis pro 1 Liter,"(Kasten 10 L, 20 x 0,5l)",kaufland
42,Original Wagner Steinofen Pizza Salami,"2,29 €","0,72 €",Preis pro 100 Gramm,(Packung 320  Gramm),kaufland
43,Danone Dany Sahne Schoko 4-er,"1,79 €","0,39 €",Preis pro 100 Gramm,"(Packung 460 Gramm, 4 x 115g)",kaufland
44,Erasco Hühner Nudeltopf mit frischem Gemüse,"2,59 €","3,24 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
45,"Müller Froop Frucht auf Joghurt Pfirsich-Maracuja, 3.5 % Fett","0,59 €","0,39 €",Preis pro 100 Gramm,(Becher 150 Gramm),kaufland
46,K Classic Back-Camembert,"1,89 €","0,54 €",Preis pro 100 Gramm,(Packung 350 Gramm),kaufland
47,Erasco Westfälischer Linsen-Eintopf mit einem Schuss Essig,"2,59 €","3,24 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
48,K Classic Bami Goreng,"1,59 €","2,12 €",Preis pro 1 KG,(Beutel 750 Gramm),kaufland
49,K Classic Delikatess Lyoner,"0,99 €","0,50 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
50,Weideglück Sahne-Joghurt nach griechischer Art,"1,99 €","0,20 €",Preis pro 100 Gramm,(Becher 1000 Gramm),kaufland
51,Weihenstephan Frische Tafelbutter 82% Fett,"2,19 €","0,88 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
52,Danone Actimel Classic,"2,65 €","3,31 €",Preis pro 1 KG,(Packung 800 Gramm),kaufland
53,Zentis Nusspli Nuss Nougat Creme,"1,59 €","3,98 €",Preis pro 1 KG,(Becher 400 Gramm),kaufland
54,K Classic Salzstangen,"0,39 €","0,16 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
55,Maggi Ravioli in Tomatensauce,"1,15 €","1,44 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
56,Sylter Salatfrische Dressing,"1,69 €","0,68 €",Preis pro 100 ml,(Flasche (Glas) 250 ML),kaufland
57,"K Classic Weißer Käse aus Kuhmilch, 45% Fett","0,79 €","3,95 €",Preis pro 1 KG,(Packung 200 Gramm),kaufland
58,"K Classic Schlagsahne wärmebehandelt, mind. 30 % Fett","0,63 €","0,32 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
59,Ovomaltine Crunchy Cream,"2,99 €","0,79 €",Preis pro 100 Gramm,(Glas 380 Gramm),kaufland
60,Oryza  Himalaya Basmati Reis lose,"2,69 €","5,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
61,Ritter Sport Schokolade Joghurt,"2,59 €","1,04 €",Preis pro 100 Gramm,(Tafel 250 Gramm),kaufland
62,Coppenrath & Wiese Unsere Goldstücke Mehrkornbrötchen,"1,39 €","0,46 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
63,Dr. Oetker Bourbon Vanille Zucker 3-er,"0,99 €","3,19 €",Preis pro 100 Gramm,(Packung 31 Gramm),kaufland
64,Palmin Kokosfett,"1,49 €","0,60 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
65,Iglo Backfischstäbchen 13-er,"3,39 €","9,31 €",Preis pro 1 KG,(Packung 364 Gramm),kaufland
66,K Classic Spätzlepfanne,"1,59 €","2,12 €",Preis pro 1 KG,(Beutel 750 Gramm),kaufland
67,K Classic Butter,"1,39 €","0,56 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
68,Meica Bratmaxe,"3,49 €","1,12 €",Preis pro 100 Gramm,(Packung 313 Gramm),kaufland
69,Meggle Joghurt Butter,"2,19 €","0,88 €",Preis pro 100 Gramm,(Packung 250  Gramm),kaufland
70,Almette Alpenfrischkäse Natur,"1,39 €","0,93 €",Preis pro 100 Gramm,(Becher 150  Gramm),kaufland
71,Sonnen Bassermann herzhafte Gulaschsuppe Ungarischer Art,"1,49 €","3,73 €",Preis pro 1 Liter,(Dose 400 ML),kaufland
72,Mövenpick Eiscreme Maple Walnuts,"2,99 €","3,32 €",Preis pro 1 Liter,(Packung 900 ML),kaufland
73,Coppenrath & Wiese Meister Torte Mandel Bienenstich,"5,29 €","6,61 €",Preis pro 1 KG,(Packung 800 Gramm),kaufland
74,K Classic Fischstäbchen,"1,99 €","4,42 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
75,Original Wagner Steinofen Pizza Speciale,"2,29 €","0,65 €",Preis pro 100 Gramm,(Packung 350 Gramm),kaufland
76,Langnese Cremissimo Bourbon Vanille,"3,29 €","3,29 €",Preis pro 1 Liter,(Packung 1000 ML),kaufland
77,Philadelphia Doppelrahmstufe Original,"1,49 €","0,85 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
78,"Weihenstephan Rahmjoghurt cremig-mild Erdbeere, 10 % Fett","0,65 €","0,43 €",Preis pro 100 Gramm,(Becher 150 Gramm),kaufland
79,Lorenz Saltletts Sticks,"1,79 €","0,72 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
80,Langnese Viennetta Vanille,"1,99 €","3,06 €",Preis pro 1 Liter,"(Packung 650 ML, 30 % mehr Inhalt)",kaufland
81,Kinder Pingui Schoko,"1,99 €","0,83 €",Preis pro 100 Gramm,"(Family Pack 240 Gramm, 8 x 30 g)",kaufland
82,Krombacher Pils,"14,80 €","1,48 €",Preis pro 1 Liter,"(Kasten 10 L, 20 x 0,5 L )",kaufland
83,Pepsi Cola Classic koffeinhaltig,"0,99 €","0,66 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),kaufland
84,"Bauer Der grosse Bauer Erdbeere,  3,5 % Fett","0,69 €","0,28 €",Preis pro 100 Gramm,(Becher 250 Gramm),kaufland
85,Granini Trinkgenuss Orange Fruchtgehalt: 100%,"1,79 €","1,79 €",Preis pro 1 Liter,(Pet-Flasche 1 L),kaufland
86,Wiesenhof Hähnchen Schenkel ungewürzt,"2,99 €","2,99 €",Preis pro 1 KG,(Beutel 1000 Gramm),kaufland
